Team,Needs,Context,Year
Washington Wizards,"SF, PF",Washington sacrificed its pick for Gortat and now needs a wing defender (SF) and frontcourt depth (PF).,2014
Atlanta Hawks,"C, PF","The Hawks hold a league‑high six picks and a young core of Trae Young, John Collins and Kevin Huerter, but their biggest hole is at center. With top‑10 selections they should target a rim‑protecting big—Jaxson Hayes or Goga Bitadze—and add frontcourt depth at power forward.",2019
Boston Celtics,,"Boston’s key concern entering the offseason was replacing expiring wings and backcourt depth. Even with four picks, the Celtics must prioritize guard and forward reserves in case free agents like Smart or Rozier depart.",2019
Brooklyn Nets,"PG, PF","Cap‑strapped but picking late in the second round, Brooklyn should target a playmaking point guard and a stretch power forward who can space and defend—addressing both backcourt creation and frontcourt floor‑spacing needs.",2019
Charlotte Hornets,"PG, SF","With Kemba Walker as the lone primary ball‑handler, Charlotte needs a backup point guard to run pick‑and‑roll actions and a two‑way small forward who can defend multiple positions and knock down open threes.",2019
Chicago Bulls,"PG, SF",Chicago ranked last in offensive efficiency and lacks secondary playmakers. They should draft a true lead guard to relieve Zach LaVine and Jimmy Butler and add perimeter wing depth that can stretch the floor and defend multiple positions.,2019
Cleveland Cavaliers,"PG, SF","Post‑LeBron, Cleveland’s biggest needs are a combo guard who can create off the bounce and a 3‑and‑D wing to match up with the league’s athletic forwards—providing both playmaking and perimeter defense.",2019
Dallas Mavericks,"PG, SG","With Deron Williams’s future uncertain, Dallas must add a true point guard and another perimeter shooter. They also need interior toughness, but the draft priority at No. 37 is a facilitator and a backcourt sniper.",2019
Denver Nuggets,"PF, SF","Denver’s roster is crowded up front, so at No. 14 they should target a stretch four who can shoot from the perimeter and a big wing who can defend multiple positions and add athleticism on the flank.",2019
Detroit Pistons,"SF, PG","Detroit has its core set but needs youth and spacing: perimeter wings like Nassir Little or Romeo Langford at small forward, and a backup point guard to ensure stability when Ish Smith departs.",2019
Golden State Warriors,"PF, C","Even after a 73‑win season, Golden State must fish for cost‑controlled role players. The biggest offseason need via the draft is another big man in the frontcourt—adding both power‑forward depth and rim‑protecting center insurance.",2019
Houston Rockets,"SG, SF","With heavy caps on Harden and Paul and no pick, Houston’s focus is on perimeter shooting and two‑way wings. They need sharpshooting guards and versatile small forwards who can switch defensively in a small‑ball scheme.",2019
Indiana Pacers,"SF, SG",Indiana’s rotation overhaul leaves a clear need for wing playmakers and shooters. They should draft a two‑way small forward for defense and a scoring shooting guard to complement Victor Oladipo.,2019
Los Angeles Clippers,"PF, SF",LAC has star aspirations in free agency but needs low‑cost role players. Their two second‑round picks should target frontcourt depth at power forward and versatile perimeter wings who can defend.,2019
Los Angeles Lakers,"SG, SF","Post‑Anthony Davis trade, L.A.’s bench is bare. With only second‑round access, the Lakers must find perimeter scorers—shooting guards and wings—to boost spacing and energy behind their stars.",2019
Memphis Grizzlies,"PG, SF","Memphis, in transition around Ja Morant, needs a floor general and complementary wing talent. Drafting a lead guard to run the offense and a two‑way small forward to fit alongside Jackson Jr. are critical.",2019
Miami Heat,"PG, SF","Financially constrained, Miami will lean on the late first round for a perimeter guard who can create and a two‑way small forward to fit their culture—ideal prospects are tough, athletic wings ready in a year.",2019
Milwaukee Bucks,"PG, C","To maximize Giannis, Milwaukee needs secondary playmakers at point guard and interior rim protection at center. Their lone pick should target a backup floor general and a backup big man who can defend the paint.",2019
Minnesota Timberwolves,"PG, PF","Locked to Towns and Wiggins, Minnesota must improve its point‑guard play and add power‑forward depth. Drafting a lead guard and a versatile stretch four are top priorities.",2019
New Orleans Pelicans,"C, SG",New Orleans holds picks 1 and 4. They’ll grab Zion Williamson at 1 (PF/C) and then address center depth behind him and surrounding shooters on the perimeter.,2019
New York Knicks,"SF, SG",NYK’s cap sheet is star‑heavy but they lack wing shooting and two‑way defenders. Drafting a two‑way small forward and a floor‑spacing shooting guard is essential for long‑term balance.,2019
Oklahoma City Thunder,"SG, PF",OKC’s pick at 21 should target shooting and frontcourt depth. They need a combo shooting guard for spacing and a power forward who can rebound and defend.,2019
Orlando Magic,"SG, SF","After solid progress, Orlando must bolster its perimeter: drafting a shooter at guard and a wing defender at small forward to round out its young core.",2019
Philadelphia 76ers,"SG, PF","With multiple second‑rounders, Philly needs perimeter shooters and frontcourt rebounding. They should target shooting guards and stretch‑four power forwards to deepen their bench.",2019
Phoenix Suns,"PG, C","Holding pick 6, Phoenix must choose between a lead guard to run the offense and a franchise center to anchor the paint—balancing playmaking and rim protection.",2019
Portland Trail Blazers,"SF, PF",Portland’s bench was thin at forward. Their pick 25 should go to a two‑way small forward and a stretch four power forward to relieve Turner’s minutes.,2019
Sacramento Kings,"SF, C",Sacramento’s second‑rounders at 40/47 should target wing defenders for perimeter stops and centers to protect the rim behind their young backcourt.,2019
San Antonio Spurs,"C, PF",Spurs need frontcourt continuity post‑Duncan. They should draft a rim‑protecting center and a versatile power forward to sustain their defensive identity.,2019
Toronto Raptors,,Toronto has only pick 59 and is focused on retaining Kawhi Leonard. They won’t use the draft to address positional holes this offseason.,2019
Utah Jazz,C,Utah values backcourt shooters and frontcourt rim protection. Drafting a bench shooter (guard) and a young center fits their player development model.,2019
Washington Wizards,"C, SF",Washington needs a young rim‑protector at center and versatile wings to defend multiple positions—betting on BPA at pick 9 to fill those roles.,2019
Atlanta Hawks,"SF, PF","Entering the draft with four selections and cap flexibility, Atlanta is in prime position to land a franchise-changing wing or forward, and could even package later picks to move up if it nets a top prospect.",2018
Boston Celtics,"C, SF","With no lottery pick of their own but a roster devoid of true big-man depth, Boston could use a center to replace the outgoing Aron Baynes and might also consider adding another wing to bolster its rotation.",2018
Brooklyn Nets,"SG, SF","Brooklyn’s rebuild hinges on acquiring long-term assets; with multiple second-round picks and a crowded backcourt, they should prioritize two-way wings and shooting guards who can develop into core pieces.",2018
Charlotte Hornets,"SG, SF","Charlotte’s lack of perimeter shooting and playmaking makes guard and wing reinforcements a priority, with prospects like Mikal Bridges or Shai Gilgeous-Alexander fitting as long-term two-way options.",2018
Chicago Bulls,"C, SF",Chicago needs interior presence and perimeter versatility; selecting a rim-protecting center like Wendell Carter Jr. alongside a two-way wing would complement Lauri Markkanen and Zach LaVine.,2018
Cleveland Cavaliers,"SF, PG","Cleveland faces post-LeBron uncertainty and must balance adding two-way wings with playmaking guards, targeting prospects who can both defend the perimeter and initiate the offense.",2018
Dallas Mavericks,"SF, PF","With franchise cornerstones in place but bench depth lacking, Dallas should target two-way wings and athletic forwards capable of defending and spacing the floor around its stars.",2018
Denver Nuggets,"SF, C",Denver’s crowded frontcourt and need for defensive versatility suggest drafting a switchable wing and a rim-protecting center to spell Nikola Jokić.,2018
Detroit Pistons,"SG, PF",Detroit’s bench needs perimeter scoring and rebounding; a sharpshooting guard and a stretch power forward would provide complementary skill sets to the young core.,2018
Golden State Warriors,"SF, C","Even champion rosters require depth, and Golden State should use its late first-rounder to add two-way wing shooting and cost-controlled big-man rim protection off the bench.",2018
Houston Rockets,"SG, SF","Houston’s small-ball identity demands more floor-spacers and perimeter defenders, so drafting shooting guards and versatile wings should be the focal point of their lone pick.",2018
Indiana Pacers,"SG, PF",Indiana’s efficient offense lacks deadeye shooters and frontcourt toughness; a combo guard and power forward who can space the floor and rebound would be ideal.,2018
Los Angeles Clippers,"C, SG",LAC must plan for potential frontcourt departures and bench scoring drops by adding a backup center and a shooting guard who can provide instant 3-point punch.,2018
Los Angeles Lakers,"SG, SF","Playing in a small window around superstar veterans, L.A. needs 3-and-D wings in both guard and forward spots to maximize spacing and defensive switches.",2018
Memphis Grizzlies,"SG, SF","Memphis’ young backcourt-led core would benefit from dynamic wing scorers and perimeter defenders who can thrive in a fast-paced, transition-heavy system.",2018
Miami Heat,"SG, SF","Even without a pick, Miami’s probable trade-in targets should be playmaking guards and two-way wings who fit the Heat’s culture of tough defense and selfless offense.",2018
Milwaukee Bucks,"PG, SG",Milwaukee’s championship ceiling hinges on bench playmaking and shooting; a backup point guard and a scoring guard off the pine would maintain offensive flow with starters resting.,2018
Minnesota Timberwolves,"SF, SG",Minnesota’s young stars need perimeter floor-spacing and perimeter defense; drafting sharpshooting wings and combative defenders should be prioritized.,2018
New Orleans Pelicans,"SF, SG",New Orleans must surround Zion Williamson with outside shooting and two-way wings to balance its inside-out attack and bolster perimeter defense.,2018
New York Knicks,"PG, SF","In a complete rebuild, New York needs a true lead guard to orchestrate the offense and two-way wings to stabilize both ends around its young core.",2018
Oklahoma City Thunder,"SF, PF","As part of a multi-year rebuild, OKC should focus on acquiring switchable wings and versatile power forwards who can defend across multiple positions.",2018
Orlando Magic,"PG, C",Orlando’s uncertain roster construction suggests drafting a floor-general to orchestrate its offense and a long-term center to anchor its interior defense.,2018
Philadelphia 76ers,"SG, SF",Philly’s star-loaded top line requires bench shooters and versatile wings to maximize spacing and defensive flexibility in playoff rotations.,2018
Phoenix Suns,"PG, C","With playmaking and rim protection both in question, Phoenix should weigh a backup point guard and a young center to support its stars.",2018
Portland Trail Blazers,"PG, PF",Portland’s bench lacks playmaking and frontcourt scoring; a secondary ball-handler and a stretch four power forward could address its second-unit weaknesses.,2018
Sacramento Kings,"SF, PF",Sacramento’s uphill battle on defense and rebound margin suggests drafting two-way wings and frontcourt strongmen who can protect the rim and space the floor.,2018
San Antonio Spurs,"SF, C","With mid-first round picks, the Spurs should target high-IQ wings and rim-protecting bigs to maintain their culture of unselfish defense and ball movement.",2018
Toronto Raptors,"C, SG",Toronto’s veteran-heavy lineup could use a backup center for depth and a perimeter shooter to sustain spacing behind its stars.,2018
Utah Jazz,"PG, SF",Utah’s playoff-ready core has gaps in bench shot creation and perimeter defense; drafting a backup point guard and a 3-and-D wing would align with their identity.,2018
Washington Wizards,"C, SF",Washington needs athletic interior defenders and versatile wings to match up with modern lineups and cover for potential backcourt departures.,2018
,,,
Atlanta Hawks,"C, SG","Atlanta’s got major problems on offense, but with Dwight Howard somewhat of a question mark because of injuries and production, as well as Paul Millsap’s upcoming free agency, they need better depth in the frontcourt. Another shooter/playmaker isn’t vital, but certainly would help.",2017
Boston Celtics,"SG, PF","Isaiah Thomas was spectacular last season, but the offense often fell apart with him off the floor because the Celtics didn't really have anyone else who could create his own shot. A prime time player on the wing who can create his own looks would be helpful in taking some of the load off Thomas. Additionally, the Celtics need help on the glass, as their weakness in that area was exposed during the playoffs.",2017
Brooklyn Nets,,"With the position the Nets are in right now, anyone will do. If you are talented at basketball, the Nets can use your services—passing, shooting, rebounding, defense—whatever. If you can do it at an NBA level you can help the Nets.",2017
Charlotte Hornets,"C, SF","The Hornets believe in Cody Zeller and Frank Kaminsky, but there are so many good stretch forwards available at the 11th pick, they need to think about it. If a great point guard falls to them, they should consider it, but it would have to be a huge drop for a top‑10 talent for them to go that direction.",2017
Chicago Bulls,"PG, SG","They badly need players who can shoot and complement star forward Jimmy Butler, assuming they don't trade him. To play the way coach Fred Hoiberg envisions, they also need more passing and athleticism—so adding a true lead guard and a scoring shooting guard makes sense.",2017
Cleveland Cavaliers,"SF, PF","In the NBA Finals, it was clear the Cavaliers needed more two‑way players off the bench. They were also at a disadvantage in length and athleticism against the Warriors. Adding a smaller, more athletic wing and a versatile power forward would help match up better.",2017
Dallas Mavericks,"PG, PF","They're not going to find a Dirk Nowitzki replacement at No. 9, but Dallas needs a true point guard for the future and more interior toughness—a power forward who can rebound and defend beside Nowitzki.",2017
Denver Nuggets,"PG, SF","They're young with talent like Nikola Jokić, but couldn’t defend even the worst offenses. Upgrading the forward spots and adding a reliable point guard to stabilize the backcourt are key needs.",2017
Detroit Pistons,"SG, PF","If they re-sign Kentavious Caldwell‑Pope, there isn't a glaring hole in the starting five. But overall, Detroit needs more cohesion, spacing and shooting—so adding a scoring shooting guard and a stretch four makes sense.",2017
Golden State Warriors,"PG, C","What do you get the team that has everything? Shaun Livingston is a free agent, so they could use a backup point guard. Zaza Pachulia and JaVale McGee are also free agents, meaning Golden State needs interior depth and rim protection.",2017
Houston Rockets,"C, SF",Houston has an abundance of firepower but got exposed in the playoffs by lacking two‑way bigs. They need a rim‑running center and a versatile small forward who can defend and finish inside.,2017
Indiana Pacers,"PG, SG","With Paul George’s future up in the air, Indiana needs a new lead guard and a scoring shooting guard to replace Jeff Teague—a backcourt makeover to support their youth movement.",2017
Los Angeles Clippers,"SF, SG","Assuming Chris Paul stays, LAC needs perimeter shooting and wing help. Adding a small forward who can defend multiple positions and a shooting guard who spaces the floor is critical.",2017
Los Angeles Lakers,"PF, C",The Lakers need star power but also must shore up defense and rebounding. Drafting a young power forward for spacing and an athletic center for rim protection would address both.,2017
Memphis Grizzlies,"PF, SG",Memphis may lose JaMychal Green in free agency and needs shooting from the second unit. They should target a stretch power forward and a scoring shooting guard off the bench.,2017
Miami Heat,"SF, PF",Miami has veterans locked in but could add youth on the wings. A two‑way small forward and a versatile power forward would bolster their roster for a playoff push.,2017
Milwaukee Bucks,"C, PF","Milwaukee’s young core impressed last season, but they need a true center to protect the rim and a scoring power forward to complement Giannis Antetokounmpo.",2017
Minnesota Timberwolves,"SF, PF",The Wolves have a top‑10 pick and need veteran help. A stretch small forward and an athletic power forward would balance their young roster.,2017
New Orleans Pelicans,"PG, SG","They have the big men, but New Orleans needs backcourt help. A lead guard for Jrue Holiday insurance and a shooting guard to space the floor are priorities.",2017
New York Knicks,"PG, SF","It’s still not clear if the Knicks will re‑sign Derrick Rose, so they need a point guard of the future and a two‑way wing to shore up defense and playmaking.",2017
Oklahoma City Thunder,"SG, SF",OKC is set in the frontcourt but lacks shooting. They need a scoring shooting guard and a 3‑and‑D small forward to space the floor around Westbrook and Durant.,2017
Orlando Magic,"SG, PG","Orlando can go any direction, but adding perimeter shooters and a secondary ball‑handler would accelerate their rebuild and free up Nikola Vucevic inside.",2017
Philadelphia 76ers,"PG, SG","With Markelle Fultz locked in at No. 1, Philadelphia still needs deep shooting around him and healthy secondary guards to maintain The Process.",2017
Phoenix Suns,"SF, PG","Devin Booker needs perimeter help, so Phoenix should target a 3‑and‑D small forward and a contingency point guard if Eric Bledsoe is traded.",2017
Portland Trail Blazers,"SF, PF","After trading for Jusuf Nurkić, Portland still needs length and versatility on the wing—small and power forwards who can defend multiple positions.",2017
Sacramento Kings,"PG, SF",Sacramento has a stocked frontcourt but lacks playmaking and shooting. They should draft a lead guard to facilitate and a scoring wing to spread the floor.,2017
San Antonio Spurs,"C, PF",Replacing Tim Duncan isn’t easy—San Antonio needs a rim‑protecting center and a versatile power forward to sustain their frontcourt identity.,2017
Toronto Raptors,"SG, SF","With Lowry and Ibaka in flux, Toronto needs perimeter shooting and wing versatility—shooting guard and small forward—to remain a contender.",2017
Utah Jazz,"SG, PG",Utah’s backcourt depth was thin; they need a backup point guard and a perimeter shooter to complement their core.,2017
Washington Wizards,"PG, PF",The Wizards lack bench consistency and rim protection. They need a reliable backup point guard and a power forward to shore up defense.,2017
Atlanta Hawks,"SG, SF","Thabo Sefolosha and Kyle Korver are aging, and Kent Bazemore may depart in free agency, leaving the Hawks thin on the wings. They should target shooting guards and small forwards—e.g., DeAndre Bembry or Malik Beasley—to replenish perimeter depth.",2016
Boston Celtics,"SG, PF","With three lottery picks but no clear superstar, Boston should pursue perimeter scorers (shooting guards) and frontcourt threats (power forwards) who can anchor both ends—whether by drafting Buddy Hield or packaging picks for a veteran star.",2016
Brooklyn Nets,"C, PF","Devoid of first‑round picks and picking only at No. 55, Brooklyn must swing for upside late. A 7‑footer like Purdue’s A.J. Hammons (center) or a banger at power forward would address its frontcourt deficiencies and long‑term rebuilding.",2016
Charlotte Hornets,"SG, SF","With Al Jefferson, Nicolas Batum and Marvin Williams expiring, Charlotte remains thin on the wing. The Hornets need shooting guards and small forwards who can both defend and shoot—making Denzel Valentine or Malik Beasley ideal fits.",2016
Chicago Bulls,"SG, SF","Chicago’s Rose/Butler backcourt ranked among the league’s worst from deep, and there’s a need for perimeter knock‑down shooting at both the shooting‑guard and small‑forward spots to space the floor alongside their stars.",2016
Dallas Mavericks,"PG, C","With Deron Williams’ future uncertain, Dallas needs a true point guard to replace him and a center upgrade to give Dirk Nowitzki’s frontcourt more interior toughness and rim protection.",2016
Denver Nuggets,,"Denver’s roster is already crowded at every spot (Kidd/Gallinari/Faried/Jokic), so the primary strategy is consolidation—using picks in trades rather than filling positional holes.",2016
Detroit Pistons,"SG, PG","Stan Van Gundy’s four‑out–one‑in system struggled from deep (34.5%), so Detroit must draft perimeter shooters—ideally shooting guards—and secondary ball‑handlers (point guards) to free Andre Drummond.",2016
Golden State Warriors,,"Coming off a 73‑win season and intact core, Golden State has no true draft needs—its best approach is best‑player‑available (e.g., Thon Maker) rather than filling a position.",2016
Houston Rockets,"PF, C","With Dwight Howard opting out and frontcourt free agents looming, Houston must draft power‑forwards and centers to bolster interior defense and complement its 4‑out spacing scheme.",2016
Indiana Pacers,"SG, SF",Indiana needs three‑and‑D wing help to space the floor for Paul George—shooting guards and small forwards who can guard multiple positions and knock down open shots.,2016
Los Angeles Clippers,"PF, C","Even with DeAndre Jordan and Blake Griffin, LAC lacks reliable backup bigs. They need power forwards and centers who can rebound, defend and relieve minutes from their stars.",2016
Los Angeles Lakers,"SG, SF","Entering the post‑Kobe era, L.A. has a glaring hole on the wing—perimeter scorers and two‑way small forwards/shooting guards like Brandon Ingram are vital to sustain spacing and defense.",2016
Memphis Grizzlies,"PG, SG",Mike Conley’s contract status leaves Memphis thin at point guard; they must draft a lead ball‑handler and also add a scoring shooting guard to diversify their backcourt.,2016
Milwaukee Bucks,"PF, C","Trading Greg Monroe calls for a new rim‑protecting big man—centers—and a scoring, versatile power forward to anchor Jabari Parker’s emerging core.",2016
Minnesota Timberwolves,"SG, PG","Despite Towns/Wiggins, the Wolves ranked 25th in three‑point percentage, showing a need for shot‑makers at shooting guard and secondary ball‑handlers (point guards) to space the floor.",2016
New Orleans Pelicans,"SG, PG","With Eric Gordon gone and Jrue Holiday requiring support, New Orleans needs perimeter shooters (shooting guards) and point‑guard depth to maximize Anthony Davis inside out.",2016
Orlando Magic,"C, PF",Orlando’s interior defense was 16th‑worst; the Magic must draft true rim‑protectors (centers) and mobile power forwards who can anchor their frontcourt around Aaron Gordon.,2016
Philadelphia 76ers,"PG, SF",The Sixers have the top pick but need floor generals and wing scorers—point guards and small forwards—to speed up rebuild and relieve rookie Ben Simmons.,2016
Phoenix Suns,"PF, C","Phoenix’s frontcourt is a weakness behind Barkley; they must draft power forwards and centers (e.g., Marquese Chriss, Dragan Bender) to bolster rebounding and rim protection.",2016
Sacramento Kings,"PG, SG",Sacramento needs playmaking and shooting backcourt help—point guards and shooting guards who can facilitate and space for Cousins/WCS.,2016
San Antonio Spurs,"C, PF","With Duncan and West in flux, the Spurs must draft centers and power forwards to maintain their frontcourt continuity and rim‑protecting identity.",2016
Toronto Raptors,"PF, C",Toronto needs interior scoring and rebounding—power forwards and centers who can stretch the floor and protect the rim next to Jonas Valančiūnas.,2016
Utah Jazz,,"Holding four picks but limited roster spots, Utah’s plan is consolidation—trading picks for proven talent rather than filling positional needs via the draft.",2016
Cleveland Cavaliers,,The Cavs had no 2016 picks and instead focused on free agency and trades to address playoff‑ready roster needs.,2016
Miami Heat,,"Miami lacked draft picks in 2016, opting to pursue veteran talent in free agency to support its championship window.",2016
New York Knicks,,"With no selections on draft night, New York prioritized trade and free‑agent opportunities to reshape its roster.",2016
Oklahoma City Thunder,,OKC held no picks in 2016 and relied on pursuing trades and veteran signings to supplement its young core.,2016
Portland Trail Blazers,,Portland had no draft picks in 2016 and instead concentrated on free agency and draft‑day trades for roster upgrades.,2016
Washington Wizards,,"The Wizards were without picks in 2016, electing to address their bench and backcourt depth through trades and signings.",2016
Atlanta Hawks,"SF, SG","The Hawks don’t have any glaring holes unless DeMarre Carroll or Paul Millsap depart, but they could use more depth on the wings, especially shooting small forward, and spot‑up perimeter shooters at shooting guard.",2015
Boston Celtics,"SG, SF","Boston connected on just 32.7% of its 3‑pointers (fourth‑worst in the league), creating a clear need for perimeter shooting at both the shooting‑guard and small‑forward spots.",2015
Brooklyn Nets,,"Cap‑strapped and without first‑round picks, Brooklyn is unlikely to address positional holes via the draft and must rely on trades or free agency.",2015
Charlotte Hornets,"SG, SF","Charlotte’s defense ranked sixth, but its offense lagged—highlighting a need for perimeter shooting and wing depth at shooting guard and small forward.",2015
Chicago Bulls,"SF, SG","In Derrick Rose’s absence, Chicago’s defense remains elite but its offense punchless, making small‑forward scoring and perimeter shooting at shooting guard obvious needs.",2015
Cleveland Cavaliers,"PG, SG","With Kyrie Irving carrying the load, Cleveland needs a true floor general and a reliable shooting guard to alleviate his scoring burden.",2015
Dallas Mavericks,"PF, PG","Dallas lost Shawn Marion, Vince Carter and Dirk Nowitzki is aging—so it must add frontcourt help at power forward and another playmaker at point guard.",2015
Denver Nuggets,SG,"Denver’s only glaring hole is at shooting guard behind Lawson and Robinson, though with quality 2‑guards available it can afford to simply take the best available player.",2015
Detroit Pistons,"SF, C",Pistons president Stan Van Gundy pinpointed the small‑forward spot and backup center as Detroit’s two biggest holes after the Ilyasova trade.,2015
Golden State Warriors,"SG, SF",Golden State lacks a reliable backup two‑guard and could use another perimeter threat—shooting guard and small forward—to preserve its spacing.,2015
Houston Rockets,"PG, SG","With Beverley and Terry in free agency, Houston enters the draft without a point guard and needs backcourt depth alongside James Harden.",2015
Indiana Pacers,"PF, C","Roy Hibbert’s and David West’s futures are in flux, so Indiana must draft frontcourt help at power forward and center.",2015
Los Angeles Clippers,"PF, C",LAC has no picks but desperately needs frontcourt depth—backup power forward and center—to relieve heavy minutes on Griffin and Jordan.,2015
Los Angeles Lakers,,"With only Kobe Bryant, Julius Randle and Jordan Clarkson guaranteed, the Lakers simply need impact talent—regardless of position—to rebuild.",2015
Memphis Grizzlies,"PF, C","Memphis must add another big man to complement Marc Gasol and Kosta Koufos, filling out its frontcourt rotation.",2015
Miami Heat,"SF, SG","Assuming Dwyane Wade and Luol Deng return, Miami’s depth suffers most on the wings, making shooting guard and small forward prime needs.",2015
Milwaukee Bucks,"PF, C","Milwaukee ranked 26th in offense (102.7 points/100 poss.) but third in defense (102.2), underscoring a need for frontcourt scoring at power forward and center.",2015
Minnesota Timberwolves,"C, PF","Minnesota needs a franchise center who can space the floor and protect the rim, with power forward as the second priority.",2015
New Orleans Pelicans,"SG, SF","Though without a first‑round pick, New Orleans’ greatest deficiency is perimeter defense, creating a need for three‑and‑D wings at SG and SF.",2015
New York Knicks,,"With Carmelo Anthony and role players expiring, New York’s top need is simply the best talent available—regardless of position.",2015
Oklahoma City Thunder,"PG, SF",OKC’s stars are locked up but the bench lacks playmakers and wings—backup point guard and small forward are critical depth needs.,2015
Orlando Magic,"PF, C",Orlando needs either a floor‑spacing power forward or a rim‑protecting center to pair with Nikola Vucevic and Aaron Gordon.,2015
Philadelphia 76ers,,"Joel Embiid’s health uncertainty means Philly should simply take the best player on its board, at any position.",2015
Phoenix Suns,"C, PF","Phoenix lacks reliable frontcourt scoring and depth, making center and power forward their top draft priorities.",2015
Portland Trail Blazers,,"With multiple free agents looming, Portland should draft the best available player to fill its thin bench, regardless of position.",2015
Sacramento Kings,"SF, PF","Sacramento can play Rudy Gay at either forward spot, so targeting shooting small forward and power forward depth makes sense.",2015
San Antonio Spurs,"PF, C",The Spurs’ only need is frontcourt depth—backup power forward and center—to prepare for eventual retirements and free‑agency losses.,2015
Toronto Raptors,"PF, C","Toronto must replace expiring frontcourt contracts, making power forward and center their primary needs.",2015
Utah Jazz,"PF, C","Utah’s core is set, but they lack versatile frontcourt scoring—power forward and center who can stretch the floor are key needs.",2015
Washington Wizards,"PF, SF","Washington needs a stretch‑four and perimeter spacing, highlighting power forward and small forward as top priorities.",2015
Atlanta Hawks,"SF, PF","With cap space to chase max contracts, Atlanta faces the real possibility of losing Josh Smith and Zaza Pachulia in free agency. They need versatile wings who can rebound and strong power forwards to pair with Al Horford.",2013
Boston Celtics,"PG, PF","With Rajon Rondo out in the playoffs, Boston’s point‑guard play was a mess, and rebounding remains an issue. They need floor‑generals and frontcourt toughness behind Garnett and Sullinger.",2013
Brooklyn Nets,"PF, SF",Brooklyn must pair a rebounder with Brook Lopez and add wing versatility to replace Reggie Evans and Kris Humphries. Stretch fours and perimeter defenders are priorities.,2013
Charlotte Bobcats,"C, PF","After a 7–59 season, Charlotte owns the No. 1 pick and must secure interior size. They need a true center for rebounding/defense and a power forward who can score in the post.",2013
Chicago Bulls,"SG, C","Jimmy Butler’s emergence leaves a shooting‑guard vacancy, and with Derrick Rose needing space, Chicago must replace perimeter shooting and add a center for rim protection.",2013
Cleveland Cavaliers,"SF, C",Cleveland needs a defensive wing to surround Kyrie Irving and a true center to pair with Tristan Thompson. A secondary playmaker can wait until later picks.,2013
Dallas Mavericks,"PG, C",Dallas lacks both a starting point guard and center. They’ll either use their pick on a lead guard like Michael Carter‑Williams or a big man to back up Dirk Nowitzki.,2013
Denver Nuggets,"SF, SG","With George Karl gone and a changing roster, Denver needs a 3‑and‑D wing who can defend and shoot, and a secondary scorer on the perimeter.",2013
Detroit Pistons,"PG, SG","Detroit’s young frontcourt is set, but they need a playmaking guard to free Monroe/Drummond and a scoring wing who can create his own shot.",2013
Golden State Warriors,"PG, C",The Warriors have no picks—unless they trade—but ideally would have added a backup point guard and a post scorer to complement Curry and Bogut.,2013
Houston Rockets,"SG, SF","Houston chases another star, but should use picks on drive‑and‑kick wings with three‑point range and perimeter defenders to space the floor.",2013
Indiana Pacers,"PF, PG",The Pacers need frontcourt insurance behind David West and secondary playmaking—either another power forward or a true lead guard to replace Augustin.,2013
Los Angeles Clippers,"C, SF","LAC must add rim protection with uncertainty around DeAndre Jordan and get younger, more athletic wings who can defend and stretch the floor.",2013
Los Angeles Lakers,"SG, SF","With Kobe injured, L.A. needs perimeter scoring and two‑way wings who can supply athleticism and defense alongside Bryant and Gasol.",2013
Memphis Grizzlies,"SG, SF",Tony Allen’s free agency and Tayshaun Prince’s decline leave the Grizzlies thin on the wing. They need 3‑and‑D perimeter scorers off the bench.,2013
Miami Heat,,"Seriously—they won the title, have shooters, rebounders, backup point guards and the best player on the planet. They’re set at every position.",2013
Milwaukee Bucks,"PG, SG","Milwaukee could lose Jennings, Redick and Ellis, so they need a point guard who can score in transition and an upgrade in backcourt shooting.",2013
Minnesota Timberwolves,"SF, SG",Minnesota’s worst‑in‑NBA three‑point shooting demands wing shooters who can create off the dribble and defensive versatility on the perimeter.,2013
New Orleans Pelicans,"SF, PF",New Orleans’ defense was too leaky for Anthony Davis. They need a perimeter defender at small forward and a power forward who can score inside.,2013
New York Knicks,"PG, SG",The Knicks need another playmaker behind their starters and perimeter scorers to replace J.R. Smith and space the floor alongside Melo and Chandler.,2013
Oklahoma City Thunder,"SG, C",OKC must replace bench scoring if Kevin Martin departs and find center depth behind Kendrick Perkins for interior toughness.,2013
Orlando Magic,"PG, SG",Orlando’s backcourt is barren without Nelson and Afflalo. A lead guard and a shooting guard are must‑haves to complement Howard in the post.,2013
Philadelphia 76ers,"C, SG",Philadelphia needs low‑post scoring to replace Bynum and wing shooters to space the floor for Jrue Holiday and build around their core.,2013
Phoenix Suns,"SG, SF",Phoenix desperately needs wing scoring and perimeter defense to ease the load on Goran Dragic and improve their transition attack.,2013
Portland Trail Blazers,"C, PF",Portland’s bench was non‑existent. They need interior depth with a backup center and a power forward to support Aldridge.,2013
Sacramento Kings,"SF, SG",Sacramento surrendered too many points and needs perimeter defenders at small forward and three‑point shooting at shooting guard.,2013
San Antonio Spurs,"PF, PG","With potential retirements looming, the Spurs need a young power forward for depth and a backup point guard for Tony Parker.",2013
Toronto Raptors,"PG, C",Toronto lacks point‑guard depth and interior toughness. They need a true lead guard and a rim‑protecting center to bolster their roster.,2013
