Prospect,Team_or_College,category,Full name,Date of birth,Place of birth,Listed height,Listed weight,College(s) or Teams,Position,Nationality,Career highlights and awards
Chris Singleton,Florida St.,international,Christopher Carl Singleton Jr.,"November 21, 1989","Canton, Georgia, U.S.",6 ft 9 in,239 lb,Florida State (2008–2011),Power forward / center,American,"2× EuroLeague champion (2021, 2022), 2× TBSL champion (2021, 2023), Chinese NBL champion (2016), 2× Greek League champion (2017, 2018), Greek Cup winner (2017), Spanish King's Cup winner (2019), Turkish Cup winner (2022), Chinese NBL Finals MVP (2016), Chinese NBL All-Imports Team (2016), Chinese NBL All-Star (2016), Greek League PIR Leader (2017), 2× All-Greek League First Team (2017, 2018), All-Greek League All-Imports Team (2018), Third-team Parade All-American (2008), McDonald's All-American (2008), 2× Third-team All-ACC (2010, 2011), 2× ACC All-Defensive Team (2010, 2011), ACC Defensive Player of the Year (2011)"
Jacob Evans,Cincinnati,international,Jacob Evans III,"June 18, 1997","Jacksonville, North Carolina, U.S",6 ft 4 in,210 lb,Cincinnati (2015–2018),Shooting guard,American,First-team All-AAC (2018)
Jimmer Fredette,BYU,international,"James Taft ""Jimmer"" Fredette","February 25, 1989","Glens Falls, New York, U.S.",6 ft 2 in,195 lb,BYU (2007–2011),Point guard / shooting guard,American,"Greek League champion (2020), EuroLeague 50–40–90 club (2020), CBA International MVP (2017), 3× CBA All-Star (2017–2019), All-NBA D-League Second Team (2016), NBA D-League All-Star (2016), NBA D-League All-Star Game MVP (2016), National college player of the year (2011), Consensus first-team All-American (2011), Third-team All-American – NABC, TSN (2010), NCAA scoring champion (2011), MWC Player of the Year (2011), 3× First-team All-MWC (2009–2011), Senior CLASS Award (2011), USA Basketball 3x3 Male Athlete of the Year (2023)"
Joel Berry,North Carolina,international,Joel DeWayne Berry II,"April 1, 1995","Orlando, Florida, U.S.",6 ft 0 in,195 lb,North Carolina (2014–2018),Point guard,American,"NCAA champion (2017), NCAA Final Four Most Outstanding Player (2017), Third-team All-American – NABC (2018), First-team All-ACC (2018), Second-team All-ACC (2017), ACC tournament MVP (2016), No. 2 honored by North Carolina Tar Heels, McDonald's All-American (2014), First-team Parade All-American (2014), 3× Florida Mr. Basketball (2012–2014)"
DaRon Holmes,Dayton,international,DaRon Rodrick Holmes II ,"August 15, 2002","Overland Park, Kansas, U.S.",6 ft 10 in,225 lb,Dayton (2021–2024),Power forward,American,"Consensus second-team All-American (2024), Atlantic 10 co-Player of the Year (2024), 2× First-team All-Atlantic 10 (2023, 2024), Second-team All-Atlantic 10 (2022), Atlantic 10 Defensive Player of the Year (2024), Atlantic 10 Rookie of the Year (2022)"
Satnam Singh Bhamara,India,international,Satnam Singh Bhamara,"December 10, 1995","Baloke, Punjab, India",7 ft 2 in,400 lb,"Antariksha Academy (Bradenton, Florida)",Center,Indian,
Ulrich Chomche,NBA Academy Africa,international,Ulrich Kamka Chomche,"December 30, 2005","Bafang, Cameroon",6 ft 11 in,210 lb,"NBA Academy Africa (Saly, Senegal)",Center,Cameroonian,Nike Hoop Summit (2024)
Patrick Mills,St. Mary's,international,Patrick Mills,"August 11, 1988","Canberra, ACT, Australia",6 ft 2 in,180 lb,Saint Mary's (2007–2009),Point guard,Australian,"NBA champion (2014), NBA Sportsmanship Award (2022), The Don Award Winner (2021), 3× Gaze Medalist (2008, 2010, 2021), 2× First-team All-WCC (2008, 2009), WCC Newcomer of the Year (2008), WCC All-Freshman Team (2008), No. 13 retired by Saint Mary's Gaels"
Geron Johnson,Memphis,international,Geron Marquis Johnson,"August 9, 1992","Dayton, Ohio, U.S.",6 ft 4 in,202 lb,"Chipola (2010–2011), Garden City CC (2011–2012), Memphis (2012–2014)",Shooting guard,American,Third-team All-Conference USA (2013)
Boban Marjanovic,Hemofarm,international,Boban Marjanović,"August 15, 1988","Boljevac, SR Serbia, Yugoslavia",7 ft 4 in,290 lb,Hemofarm (2006-2010),Center,Serbian,"All-EuroLeague First Team (2015), EuroLeague rebounding leader (2015), Serbian League champion (2015), 3× Serbian League MVP (2013–2015), Serbian League Domestic Player of the Year (2015), 3× All-Serbian League First Team (2013–2015), Serbian League rebounding leader (2013), ABA League champion (2015), ABA League playoffs MVP (2015), 3× All-ABA League Team (2014, 2015), 2× Serbian Cup winner (2014, 2015), LKL All-Star (2011), LKL champion (2011), Baltic League champion (2011), Lithuanian Cup winner (2011)"
Robert Upshaw,Washington,international,Robert Ridjell Upshaw,"January 5, 1994","Fresno, California, U.S.",7 ft 0 in,250 lb,"Fresno State (2012–2013), Washington (2014–2015)",Center,American,"T1 League All-Star (2023), NAPB champion (2018)"
Tomas Satoransky,Cajasol Sevilla,international,Tomáš Satoranský ,"October 30, 1991","Prague, Czechoslovakia",6 ft 7 in,210 lb,USK Praha (2007-2009),Guard / small forward,Czech,"Spanish Supercup winner (2015), ACB Most Spectacular Player (2016), All-Liga ACB Second Team (2016), 5× Czech Player of the Year (2013–2015, 2018, 2019)"
Damien Inglis,Roanne,international,Damien Roberto Inglis,"May 20, 1995","Cayenne, French Guiana",6 ft 8 in,240 lb,Chorale Roanne (2013-2014),Power forward,French,"EuroCup champion (2021, 2023), French Cup winner (2018)"
Scoot Henderson,G League Ignite,gleague,"Sterling ""Scoot"" Henderson","February 3, 2004","Marietta, Georgia, U.S.",6 ft 3 in,206 lb,NBA G League Ignite (2021-2023),Point guard,American,NBA G League Next Up Game (2023)
Sidy Cissoko,G League Ignite,gleague,Sidy Cissoko,"April 2, 2004","Saint-Maurice, France",6 ft 6 in,200 lb,NBA G League Ignite (2022-2023),Small forward / shooting guard,American,"NBA G League Next Up Game (2023), Nike Hoop Summit (2022)"
Mojave King,G League Ignite,gleague,Mojave King,"June 11, 2002","Dunedin, New Zealand",6 ft 5 in,195 lb,NBA G League Ignite (2022-2023),Shooting guard,New Zealand / American,NBA G League Next Up Game (2023)
Matas Buzelis,G League Ignite,gleague,Matas Arvidas Buzelis,"October 13, 2004","Chicago, Illinois, U.S.",6 ft 10 in,209 lb,NBA G League Ignite (2023-2024),Small forward / power forward,Lithuanian / American,"NBA G League Next Up Game (2024), McDonald's All-American (2023), Jordan Brand Classic (2023), Nike Hoop Summit (2022)"
Dyson Daniels,G League Ignite,gleague,Dyson James Daniels,"March 17, 2003","Bendigo, Victoria, Australia",6 ft 7 in,199 lb,NBA G League Ignite (2021-2022),Shooting guard,Australian,
Michael Foster Jr.,G League Ignite,gleague,Michael Foster Jr.,"January 16, 2003","Milwaukee, Wisconsin, U.S.",6 ft 8 in,250 lb,NBA G League Ignite (2021-2022),Power forward,American,"NBA G League champion (2023), McDonald's All-American (2021), Jordan Brand Classic (2021)"
Jonathan Kuminga,G League Ignite,gleague,Jonathan Malangu Kuminga,"October 6, 2002","Goma, DR Congo",6 ft 7 in,225 lb,NBA G League Ignite (2020-2021),Power forward / small forward,Congolese,NBA champion (2022)
Jalen Green,G League Ignite,gleague,Jalen Romande Green,"February 9, 2002","Merced, California, U.S.",6 ft 4 in,186 lb,NBA G League Ignite (2020-2021),Shooting guard,American,"NBA All-Rookie First Team (2022), McDonald's All-American (2020), FIBA Under-17 World Cup MVP (2018)"
Tyler Smith,G League Ignite,gleague,Tyler Smith,"November 2, 2004","New Orleans, Louisiana, U.S.",6 ft 9 in,224 lb,NBA G League Ignite (2023-2024),Power forward,American,"NBA Cup champion (2024), NBA G League Next Up Game (2024), All-OTE Second Team (2023)"
Daishen Nix,G League Ignite,gleague,Daishen Nix,"February 13, 2002","Fairbanks, Alaska, U.S.",6 ft 4 in,238 lb,NBA G League Ignite (2020-2021),Point guard,American,"NBA G League champion (2022), McDonald's All-American (2020)"
