Prospect,Field,Gold,Predicted
Kyle Fogg,Position,Point guard,
Tiny Gallon,Position,Power forward / center,
Duane Washington Jr.,Position,Shooting guard / point guard,
Tristan Thompson,Position,Centre,
Cameron Payne,Position,Point guard / shooting guard,
Daniel Orton,Position,Power forward / center,
Julius Randle,Position,Power forward / center,
Damion James,Position,Small forward,
Klay Thompson,Position,Shooting guard / small forward,
Jonathan Isaac,Position,Power forward / small forward,
Marcus Bagley,Position,Small forward,
Landry Shamet,Position,Shooting guard,
Robert Williams,Position,Center / power forward,
Eric Bledsoe,Position,Point guard / shooting guard,
TJ Leaf,Position,Power forward,
Patrick Williams,Position,Power forward,
Tyson Etienne,Position,Point guard / shooting guard,
Drew Peterson,Position,Small forward / power forward,
Jrue Holiday,Position,Point guard / shooting guard,
Tevin Brown,Position,Shooting guard,
Zeke Nnaji,Position,Power forward / center,
Jaylen Wells,Position,Small forward/shooting guard,
Onyeka Okongwu,Position,Center / power forward,
Chet Holmgren,Position,Center / power forward,
Chinemelu Elonu,Position,Center,
Tyger Campbell,Position,Point guard,
Grayson Allen,Position,Shooting guard,
Terrel Harris,Position,Shooting guard,
Michael Qualls,Position,Shooting guard,
Christian Koloko,Position,Center,
Rawle Alkins,Position,Small forward / Guard,
Deyonta Davis,Position,Power forward / center,
Art Parakhouski,Position,Center,
Paul Reed,Position,Center / power forward,
Marius Grigonis,Position,Small forward / shooting guard,
Michael Frazier II,Position,Shooting guard,
Baylor Scheierman,Position,Shooting guard / small forward,
Cedric Jackson,Position,Point guard,
Chris Singleton,Position,Power forward / center,
Jacob Evans,Position,Shooting guard,
Jimmer Fredette,Position,Point guard / shooting guard,
DaRon Holmes,Position,Power forward,
Satnam Singh Bhamara,Position,Center,
Ulrich Chomche,Position,Center,
Patrick Mills,Position,Point guard,
Geron Johnson,Position,Shooting guard,
Boban Marjanovic,Position,Center,
Robert Upshaw,Position,Center,
Tomas Satoransky,Position,Guard / small forward,
Damien Inglis,Position,Power forward,
Scoot Henderson,Position,Point guard,
Sidy Cissoko,Position,Small forward / shooting guard,
Mojave King,Position,Shooting guard,
Matas Buzelis,Position,Small forward / power forward,
Dyson Daniels,Position,Shooting guard,
Michael Foster Jr.,Position,Power forward,
Jonathan Kuminga,Position,Power forward / small forward,
Jalen Green,Position,Shooting guard,
Tyler Smith,Position,Power forward,
Daishen Nix,Position,Point guard,
M.J. Walker,Nationality,American,
Blake Griffin,Nationality,American,
Kaleb Wesson,Nationality,American ,
Anthony Barber,Nationality,American,
Aaron Gordon,Nationality,American,
Branden Dawson,Nationality,American,
Karl-Anthony Towns,Nationality,American / Dominican,
DeAndre Liggins,Nationality,American,
Bryson Williams,Nationality,American,
DeMarcus Cousins,Nationality,American,
James Anderson,Nationality,American,
Jordan Bachynski,Nationality,Canadian,
Solomon Hill,Nationality,American,
TyTy Washington Jr.,Nationality,American,
Keshad Johnson,Nationality,American,
Kevin Palmer,Nationality,American,
Willie Warren,Nationality,American,
Khris Middleton,Nationality,American,
Robert Dillingham,Nationality,American,
Dexter Pittman,Nationality,American,
Dillon Jones,Nationality,American,
D.J. Hogg,Nationality,American,
Malaki Branham,Nationality,American,
Chris Livingston,Nationality,American,
Stanley Robinson,Nationality,American,
Jaylen Barford,Nationality,American,
Josh Green,Nationality,Australian,
Kyle Fogg,Nationality,American,
Tiny Gallon,Nationality,American,
Duane Washington Jr.,Nationality,American / German,
Tristan Thompson,Nationality,Canadian / American,
Daniel Orton,Nationality,American,
Damion James,Nationality,American,
Klay Thompson,Nationality,American,
Jonathan Isaac,Nationality,American,
Marcus Bagley,Nationality,American,
Landry Shamet,Nationality,American,
Robert Williams,Nationality,American,
TJ Leaf,Nationality,Israeli / American,
Patrick Williams,Nationality,American,
Tyson Etienne,Nationality,American,
Jrue Holiday,Nationality,American,
Zeke Nnaji,Nationality,American,
Jaylen Wells,Nationality,American,
Onyeka Okongwu,Nationality,American,
Chinemelu Elonu,Nationality,Nigerian,
Tyger Campbell,Nationality,American,
Terrel Harris,Nationality,American,
Michael Qualls,Nationality,American,
Christian Koloko,Nationality,Cameroonian,
Art Parakhouski,Nationality,Belarusian,
Paul Reed,Nationality,American,
Marius Grigonis,Nationality,Lithuanian,
Malcolm Cazalon,Nationality,French,
Baylor Scheierman,Nationality,American,
Cedric Jackson,Nationality,American,
Chris Singleton,Nationality,American,
Jacob Evans,Nationality,American,
Jimmer Fredette,Nationality,American,
Joel Berry,Nationality,American,
DaRon Holmes,Nationality,American,
Satnam Singh Bhamara,Nationality,Indian,
Ulrich Chomche,Nationality,Cameroonian,
Patrick Mills,Nationality,Australian,
Geron Johnson,Nationality,American,
Boban Marjanovic,Nationality,Serbian,
Robert Upshaw,Nationality,American,
Tomas Satoransky,Nationality,Czech,
Damien Inglis,Nationality,French,
Scoot Henderson,Nationality,American,
Sidy Cissoko,Nationality,American,
Mojave King,Nationality,New Zealand / American,
Matas Buzelis,Nationality,Lithuanian / American,
Dyson Daniels,Nationality,Australian,
Michael Foster Jr.,Nationality,American,
Jonathan Kuminga,Nationality,Congolese,
Tyler Smith,Nationality,American,
Daishen Nix,Nationality,American,
M.J. Walker,Career highlights and awards,"NZNBL champion (2024), Second-team All-ACC (2021), McDonald’s All -American (2017), Nike Hoop Summit (2017)",
Blake Griffin,Career highlights and awards,"NBA All-Star (2011, 2012, 2013, 2014, 2015, 2019), All-NBA Second Team (2012, 2013, 2014), All-NBA Third Team (2015, 2019), NBA Rookie of the Year (2011), NBA All-Rookie First Team (2011), NBA Slam Dunk Contest champion (2011), National college player of the year (2009), Consensus first-team All-American (2009), NCAA rebounding leader (2009), Big 12 Player of the Year (2009), No. 23 honored by Oklahoma Sooners, Third-team Parade All-American (2007), McDonald's All-American (2007)",
Kaleb Wesson,Career highlights and awards,"Second-team All-Big Ten (2020), Ohio Mr. Basketball (2017)",
Anthony Barber,Career highlights and awards,"All-NBA G League Second Team (2022), CEBL champion (2023), 2× All-CEBL First Team (2023, 2024), 2× All-CEBL Second Team (2021, 2022), Portuguese Cup winner (2024), Portuguese Cup MVP (2024), AP Honorable Mention All-American (2016), First-team All-ACC (2016), McDonald's All-American (2013)",First-team All-ACC (2016)
Aaron Gordon,Career highlights and awards,"NBA champion (2023), Third-team All-America – SN (2014), First-team All-Pac-12 (2014), Pac-12 Freshman of the Year (2014), McDonald's All-American Game MVP (2013), First-team Parade All-American (2013), 2× California Mr. Basketball (2012, 2013), USA Basketball Male Athlete of the Year (2013), FIBA Under-19 World Cup MVP (2013)",
Branden Dawson,Career highlights and awards,"T1 League All-Star (2023), Dominican LNB Best Defender (2019), Second-team All-Big Ten (2015), Big Ten All-Defensive Team (2015), Big Ten All-Freshman Team (2012), Big Ten tournament MOP (2014), McDonald's All-American (2011), Third-team Parade All-American (2011)",
Karl-Anthony Towns,Career highlights and awards,"5× NBA All-Star (2018, 2019, 2022, 2024, 2025), 2× All-NBA Third Team (2018, 2022), NBA Rookie of the Year (2016), NBA All-Rookie First Team (2016), NBA Three-Point Contest champion (2022), Consensus second-team All-American (2015), SEC Freshman of the Year (2015), First-team All-SEC (2015), Gatorade National Player of the Year (2014), McDonald's All-American (2014), First-team Parade All-American (2014)",
DeAndre Liggins,Career highlights and awards,"British Basketball League Team of the Year (2021), British Basketball League Defensive Team of the Year (2021), British Basketball League Trophy Finals MVP (2021), NBA D-League champion (2016), BBL Trophy champion (2021), 2× NBA D-League Defensive Player of the Year (2014, 2016), 2× All-NBA D-League Second Team (2014, 2016), 2× NBA D-League All-Defensive First Team (2014, 2016), 2× NBA D-League All-Star (2014, 2016)",
Bryson Williams,Career highlights and awards,"First-team All-Big 12 (2022), First-team All-Conference USA (2020), Third-team All-Conference USA (2021), Third-team All-Mountain West (2018)",
DeMarcus Cousins,Career highlights and awards,"4× NBA All-Star (2015–2018), 2× All-NBA Second Team (2015, 2016), NBA All-Rookie First Team (2011), T1 League champion (2024), T1 League Finals MVP (2024), T1 League Most Popular Player of the Year (2024), Consensus second-team All-American (2010), First-team All-SEC (2010), SEC Rookie of the Year (2010), SEC All-Rookie Team (2010), McDonald's All-American (2009), First-team Parade All-American (2009)",
James Anderson,Career highlights and awards,"2× EuroLeague champion (2021, 2022), 2× Turkish League champion (2019, 2021), Lithuanian LKL champion (2015), LKL All-Star (2015), LKF Cup winner (2015), Consensus second-team All-American (2010), Big 12 Player of the Year (2010), First-team All-Big 12 (2010), 2× Second-team All-Big 12 (2008, 2009), Third-team Parade All-American (2007), McDonald's All-American (2007), 2× Arkansas Mr. Basketball (2006, 2007)",
Jordan Bachynski,Career highlights and awards,"All-NBA D-League Third Team (2016), NBA D-League All-Defensive Team (2016), NBA D-League All-Star (2016), Second-team All-Pac-12 (2014), Pac-12 Defensive Player of the Year (2014), Pac-12 All-Defensive Team (2014), NCAA blocks leader (2014)",
Solomon Hill,Career highlights and awards,"2× First-team All-Pac-12 (2012, 2013)",
Austin Reaves,Career highlights and awards,"NBA Cup champion (2023), First-team All-Big 12 (2021), Big 12 All-Newcomer Team (2020)",
TyTy Washington Jr.,Career highlights and awards,"Second-team All-SEC (2022), SEC All-Freshman team (2022), Jordan Brand Classic (2021)",
Jodie Meeks,Career highlights and awards,"NBA champion (2019), Consensus second-team All-American (2009), First-team All-SEC (2009)",
Keita Bates-Diop,Career highlights and awards,"Consensus second-team All-American (2018), Big Ten Player of the Year (2018), First-team All-Big Ten (2018)",
Marvin Bagley,Career highlights and awards,"NBA All-Rookie First Team (2019), Consensus first-team All-American (2018), Pete Newell Big Man Award (2018), NABC Freshman of the Year (2018), ACC Player of the Year (2018), First-team All-ACC (2018), ACC Rookie of the Year (2018)",
Kevin Palmer,Career highlights and awards,"Israeli League champion (2016), Greek League rebounding leader (2013), Greek League steals leader (2013), bj league Best Five (2011-2012), bj league All-Star (2012), First-team All-Southland (2009, 2010), Southland Newcomer of the Year (2009)",
Willie Warren,Career highlights and awards,"CBA All-Star (2016), Second-team All-Big 12 (2009), Big 12 Freshman of the Year (2009), Big 12 All-Rookie team (2009), McDonald's All-American (2008), Third-team Parade All-American (2008), Texas Mr. Basketball (2008)",
Robert Covington,Career highlights and awards,"NBA All-Defensive First Team (2018), NBA D-League All-Star (2014), NBA D-League All-Star Game MVP (2014), All-NBA D-League First Team (2014), NBA D-League Rookie of the Year (2014), First-team All-OVC (2012), Second-team All-OVC (2011, 2013), OVC All-Newcomer Team (2010)",
Alex Caruso,Career highlights and awards,"NBA champion (2020), NBA All-Defensive First Team (2023), NBA All-Defensive Second Team (2024), Second-team All-NBA G League (2018), Second-team All-SEC (2016), SEC All-Defensive Team (2015)",
Khris Middleton,Career highlights and awards,"NBA champion (2021), NBA Cup champion (2024), 3× NBA All-Star (2019, 2020, 2022), Second-team All-Big 12 (2011)",
Isaiah Cousins,Career highlights and awards,"ENBL MVP (2025), Israeli League Cup winner (2019), Third-team All-Big 12 (2016), First-team Parade All-American (2012)",
Robert Dillingham,Career highlights and awards,"Second-team All-SEC (2024), SEC Sixth Man of the Year (2024), SEC All-Freshman Team (2024), FIBA Americas Under-16 Championship MVP (2021)",
Dexter Pittman,Career highlights and awards,"NBA champion (2012), NBA D-League All-Star (2011)",
Dillon Jones,Career highlights and awards,"Big Sky Player of the Year (2024), 3× First-team All-Big Sky (2022–2024), Big Sky Freshman of the Year (2021)",
Taj Gibson,Career highlights and awards,"NBA All-Rookie First Team (2010), Second-team All-Pac-10 (2009), Third-team All-Pac-10 (2008), Pac-10 Defensive Player of the Year (2009)",
D.J. Hogg,Career highlights and awards,"NBA G League champion (2021), All-NBL Second Team (2023)",
Malaki Branham,Career highlights and awards,"Big Ten Freshman of the Year (2022), Big Ten All-Freshman Team (2022), Third-team All-Big Ten (2022), Jordan Brand Classic (2021), Ohio Mr. Basketball (2021)",
Jawun Evans,Career highlights and awards,"Third-team All-American – SN (2017), First-team All-Big 12 (2017), Big 12 Freshman of the Year (2016), McDonald's All-American (2015), First-team Parade All-American (2015)",
Chris Livingston,Career highlights and awards,"NBA Cup champion (2024), SEC All-Freshman Team (2023), McDonald's All-American (2022), Jordan Brand Classic (2022), FIBA Americas Under-16 Championship MVP (2019)",
Jared Sullinger,Career highlights and awards,"CBA International MVP (2024), CBA rebounding leader (2018, 2023), KBL Playoffs MVP (2021), Consensus first-team All-American (2011, 2012), USBWA National Freshman of the Year (2011), Big Ten Freshman of the Year (2011), First-team All-Big Ten (2011, 2012), Big Ten tournament MOP (2011), Big Ten All-Freshman Team (2011), Naismith Prep Player of the Year (2010), McDonald's All-American Game Co-MVP (2010), First-team Parade All-American (2010), Second-team Parade All-American (2009), Ohio Mr. Basketball (2009, 2010)",
Bronny James,Career highlights and awards,McDonald's All-American (2023),
Stanley Robinson,Career highlights and awards,"NBA D-League champion (2011), Second-team Parade All-American (2006), Alabama Mr. Basketball (2006)",
Jaylen Barford,Career highlights and awards,"All-VTB United League First Team (2023), First-team All-SEC (2018)",
Josh Green,Career highlights and awards,McDonald's All-American (2019),
Kyle Fogg,Career highlights and awards,"3× CBA champion (2022–2024), CBA Finals MVP (2024), EuroCup champion (2017), All-EuroCup Second Team (2017), Bundesliga scoring champion (2016), Korisliiga MVP (2014), Korisliiga scoring champion (2014), NBA D-League champion (2013), First-team All-Pac-12 (2012)",
Tiny Gallon,Career highlights and awards,"2× NBL China scoring champion (2014, 2015), Third-team Parade All-American (2009), McDonald's All-American (2009)",
Duane Washington Jr.,Career highlights and awards,Third-team All-Big Ten (2021),
Tristan Thompson,Career highlights and awards,"NBA champion (2016), NBA All-Rookie Second Team (2012), Second-team All-Big 12 (2011), Big 12 Freshman of the Year (2011), Second-team Parade All-American (2010), McDonald's All-American (2010)",
Cameron Payne,Career highlights and awards,"OVC Player of the Year (2015), Lute Olson Award (2015), First-team All-OVC (2014, 2015), OVC Freshman of the Year (2014), No. 1 retired by Murray State Racers",
Julius Randle,Career highlights and awards,"NBA All-Star (2021, 2023, 2024), All-NBA Second Team (2021), All-NBA Third Team (2023), NBA Most Improved Player (2021), Third-team All-American – AP, NABC (2014), SEC Rookie of the Year (2014), First-team All-SEC (2014), McDonald's All-American (2013)",
Damion James,Career highlights and awards,"NBA champion (2014), BSN champion (2018), BSN Foreign MVP (2016), BSN All-Star (2016), BSN All-Defensive Team (2016), FIBA Intercontinental Cup champion (2016), BSN scoring champion (2016), NBA D-League All-Star (2013), All-NBA D-League Second Team (2013), NBA D-League All-Defensive First Team (2013), Second-team All-American – TSN (2010), Third-team All-American – AP (2010), Second-team All-Big 12 (2009), Second-team Parade All-American (2006)",
Klay Thompson,Career highlights and awards,"4× NBA champion (2015, 2017, 2018, 2022), 5× NBA All-Star (2015–2019), 2× All-NBA Third Team (2015, 2016), NBA All-Defensive Second Team (2019), NBA Three-Point Contest champion (2016), NBA All-Rookie First Team (2012), 2× First-team All-Pac-10 (2010, 2011), No. 1 retired by Washington State Cougars",
Landry Shamet,Career highlights and awards,"NBA All-Rookie Second Team (2019), NBA G League Winter Showcase champion (2024), First-team All-AAC (2018), First-team All-MVC (2017), MVC Freshman of the Year (2017)",
Robert Williams,Career highlights and awards,"NBA All-Defensive Second Team (2022), SEC Defensive Player of the Year (2017, 2018), Second-team All-SEC (2017), SEC All-Freshman Team (2017), SEC All-Defensive Team (2017, 2018)",
Eric Bledsoe,Career highlights and awards,"CBA Club Cup champion (2025), CBA Club Cup Final MVP (2025), NBA All-Defensive First Team (2019), NBA All-Defensive Second Team (2020), NBA All-Rookie Second Team (2011), SEC All-Rookie Team (2010)",
TJ Leaf,Career highlights and awards,"First-team All-Pac-12 (2017), Pac-12 All-Freshman team (2017), McDonald's All-American (2016)",
Patrick Williams,Career highlights and awards,"NBA All-Rookie Second Team (2021), ACC Sixth Man of The Year (2020), ACC All-Freshman Team (2020)",
Tyson Etienne,Career highlights and awards,"AAC co-Player of the Year (2021), First-team All-AAC (2021), Third-team All-AAC (2022)",
Drew Peterson,Career highlights and awards,"NBA champion (2024), 2× First-team All-Pac-12 (2022, 2023)",
Jrue Holiday,Career highlights and awards,"2× NBA champion (2021, 2024), 2× NBA All-Star (2013, 2023), 3× NBA All-Defensive First Team (2018, 2021, 2023), 3× NBA All-Defensive Second Team (2019, 2022, 2024), 3× Twyman-Stokes Teammate of the Year Award (2020, 2022, 2023), NBA Sportsmanship Award (2021), Pac-10 All-Freshman Team (2009), Gatorade National Player of the Year (2008), First-team Parade All-American (2008), Third-team Parade All-American (2007), McDonald's All-American (2008), California Mr. Basketball (2008)",
Tevin Brown,Career highlights and awards,"NZNBL champion (2023), NZNBL Grand Final MVP (2023), NZNBL All-Star Five (2023), CEBL Clutch Player of the Year (2024), 3× First-team All-OVC (2020–2022)",
Zeke Nnaji,Career highlights and awards,"NBA champion (2023), First-team All-Pac-12 (2020), Pac-12 Freshman of the Year (2020), Pac-12 All-Freshman team (2020)",
Jaylen Wells,Career highlights and awards,"CCAA Player of the Year (2023), First-team All-CCAA (2023)",
Onyeka Okongwu,Career highlights and awards,"First-team All-Pac-12 (2020), 2× California Mr. Basketball (2018, 2019)",
Chet Holmgren,Career highlights and awards,"NBA All-Rookie First Team (2024), Consensus second-team All-American (2022), WCC Defensive Player of the Year (2022), WCC Newcomer of the Year (2022), First-team All-WCC (2022), WCC All-Freshman Team (2022), National high school player of the year (2021), McDonald's All-American (2021), Jordan Brand Classic (2021), Nike Hoop Summit (2021), Minnesota Mr. Basketball (2021), FIBA Under-19 World Cup MVP (2021)",
Chinemelu Elonu,Career highlights and awards,"BAL champion (2021), FIBA Champions League champion (2018), Greek Cup winner (2018), 2× BSN champion (2018, 2021), BSN rebounding leader (2022), 3× BSN blocks leader (2020–2022), LEB Oro champion (2010), First-team All-Big 12 (2009)",
Tyger Campbell,Career highlights and awards,3× First-team All-Pac-12 (2021–2023),
Grayson Allen,Career highlights and awards,"NCAA champion (2015), Second-team All-American – SN (2016), Third-team All-American – AP, NABC (2016), First-team All-ACC (2016), Third-team All-ACC (2018), McDonald's All-American (2014)",
Terrel Harris,Career highlights and awards,"NBA champion (2012), Big 12 All-Defensive team (2009)",
Michael Qualls,Career highlights and awards,"All-IBL Indonesia First Team (2024), IBL scoring champion (2024), Second-team All-SEC (2015)",
Christian Koloko,Career highlights and awards,"First-team All-Pac-12 (2022), Pac-12 Defensive Player of the Year (2022), Pac-12 Most Improved Player (2022), Pac-12 All-Defensive Team (2022)",
Rawle Alkins,Career highlights and awards,Pac-12 All-Freshman Team (2017),
Deyonta Davis,Career highlights and awards,"2× T1 League All-Defensive First Team (2022, 2023), 2× T1 League blocks leader (2022, 2023), McDonald's All-American (2015), First-team Parade All-American (2015), Mr. Basketball of Michigan (2015)",
Art Parakhouski,Career highlights and awards,"ABA League Supercup (2019), King Mindaugas Cup winner (2019), King Mindaugas Cup MVP (2019), Israeli League champion (2018), Israeli League Cup winner (2017), Latvian Basketball League champion (2011), Baltic League Regular Season MVP (2011), EuroLeague Block Leader (2015), All-VTB United League Second Team (2017), Turkish League Blocks Leader (2013), NCAA rebounding leader (2010), 2× Big South Player of the Year (2009, 2010), 2× First-team All-Big South (2009, 2010)",
Paul Reed,Career highlights and awards,"NBA G League MVP (2021), NBA G League Rookie of the Year (2021), All-NBA G League First Team (2021), NBA G League All-Defensive Team (2021), NBA G League All-Rookie Team (2021), Second-team All-Big East (2020), Big East Most Improved Player (2019)",
Marius Grigonis,Career highlights and awards,"EuroLeague champion (2024), EuroLeague 50–40–90 club (2021), Greek League champion (2024), Greek Cup winner (2025), VTB United League Supercup winner (2021), 2x King Mindaugas Cup winner (2020, 2021), 3× Lithuanian League champion (2019–2021), All-Lithuanian League Team (2019), Champions League champion (2017), Champions League Final Four MVP (2017), All-LEB Oro team (2014)",
Michael Frazier II,Career highlights and awards,"NBA G League champion (2019), NBA G League Most Improved Player (2019), SEC All-Freshman Team (2013)",
Baylor Scheierman,Career highlights and awards,"Third-team All-American – AP, USBWA, NABC, SN (2024), Summit League Player of the Year (2022), 2× First-team All-Summit League (2021, 2022), First-team All-Big East (2024)",
Cedric Jackson,Career highlights and awards,"NAPB champion (2018), 3× NBL champion (2012, 2013, 2015), 2× NBL Grand Final MVP (2013, 2015), NBL Most Valuable Player (2013), 3× All-NBL First Team (2012, 2013, 2015), 5× NBL assists leader (2012, 2013, 2015–2017), NBA D-League All-Star (2011), NBA D-League All-Defensive Second Team (2011), 2× Second-team All-Horizon League (2008, 2009), Horizon League Defensive Player of the Year (2009), 2× Horizon League All-Defensive Team (2008, 2009), Horizon League All-Newcomer Team (2008)",
Chris Singleton,Career highlights and awards,"2× EuroLeague champion (2021, 2022), 2× TBSL champion (2021, 2023), Chinese NBL champion (2016), 2× Greek League champion (2017, 2018), Greek Cup winner (2017), Spanish King's Cup winner (2019), Turkish Cup winner (2022), Chinese NBL Finals MVP (2016), Chinese NBL All-Imports Team (2016), Chinese NBL All-Star (2016), Greek League PIR Leader (2017), 2× All-Greek League First Team (2017, 2018), All-Greek League All-Imports Team (2018), Third-team Parade All-American (2008), McDonald's All-American (2008), 2× Third-team All-ACC (2010, 2011), 2× ACC All-Defensive Team (2010, 2011), ACC Defensive Player of the Year (2011)",
Jacob Evans,Career highlights and awards,First-team All-AAC (2018),
Jimmer Fredette,Career highlights and awards,"Greek League champion (2020), EuroLeague 50–40–90 club (2020), CBA International MVP (2017), 3× CBA All-Star (2017–2019), All-NBA D-League Second Team (2016), NBA D-League All-Star (2016), NBA D-League All-Star Game MVP (2016), National college player of the year (2011), Consensus first-team All-American (2011), Third-team All-American – NABC, TSN (2010), NCAA scoring champion (2011), MWC Player of the Year (2011), 3× First-team All-MWC (2009–2011), Senior CLASS Award (2011), USA Basketball 3x3 Male Athlete of the Year (2023)",
Joel Berry,Career highlights and awards,"NCAA champion (2017), NCAA Final Four Most Outstanding Player (2017), Third-team All-American – NABC (2018), First-team All-ACC (2018), Second-team All-ACC (2017), ACC tournament MVP (2016), No. 2 honored by North Carolina Tar Heels, McDonald's All-American (2014), First-team Parade All-American (2014), 3× Florida Mr. Basketball (2012–2014)",2017 national championship
DaRon Holmes,Career highlights and awards,"Consensus second-team All-American (2024), Atlantic 10 co-Player of the Year (2024), 2× First-team All-Atlantic 10 (2023, 2024), Second-team All-Atlantic 10 (2022), Atlantic 10 Defensive Player of the Year (2024), Atlantic 10 Rookie of the Year (2022)",
Ulrich Chomche,Career highlights and awards,Nike Hoop Summit (2024),
Patrick Mills,Career highlights and awards,"NBA champion (2014), NBA Sportsmanship Award (2022), The Don Award Winner (2021), 3× Gaze Medalist (2008, 2010, 2021), 2× First-team All-WCC (2008, 2009), WCC Newcomer of the Year (2008), WCC All-Freshman Team (2008), No. 13 retired by Saint Mary's Gaels",
Geron Johnson,Career highlights and awards,Third-team All-Conference USA (2013),
Boban Marjanovic,Career highlights and awards,"All-EuroLeague First Team (2015), EuroLeague rebounding leader (2015), Serbian League champion (2015), 3× Serbian League MVP (2013–2015), Serbian League Domestic Player of the Year (2015), 3× All-Serbian League First Team (2013–2015), Serbian League rebounding leader (2013), ABA League champion (2015), ABA League playoffs MVP (2015), 3× All-ABA League Team (2014, 2015), 2× Serbian Cup winner (2014, 2015), LKL All-Star (2011), LKL champion (2011), Baltic League champion (2011), Lithuanian Cup winner (2011)",
Robert Upshaw,Career highlights and awards,"T1 League All-Star (2023), NAPB champion (2018)",
Tomas Satoransky,Career highlights and awards,"Spanish Supercup winner (2015), ACB Most Spectacular Player (2016), All-Liga ACB Second Team (2016), 5× Czech Player of the Year (2013–2015, 2018, 2019)",
Damien Inglis,Career highlights and awards,"EuroCup champion (2021, 2023), French Cup winner (2018)",
Scoot Henderson,Career highlights and awards,NBA G League Next Up Game (2023),
Sidy Cissoko,Career highlights and awards,"NBA G League Next Up Game (2023), Nike Hoop Summit (2022)",
Mojave King,Career highlights and awards,NBA G League Next Up Game (2023),
Matas Buzelis,Career highlights and awards,"NBA G League Next Up Game (2024), McDonald's All-American (2023), Jordan Brand Classic (2023), Nike Hoop Summit (2022)",
Michael Foster Jr.,Career highlights and awards,"NBA G League champion (2023), McDonald's All-American (2021), Jordan Brand Classic (2021)",
Jonathan Kuminga,Career highlights and awards,NBA champion (2022),
Jalen Green,Career highlights and awards,"NBA All-Rookie First Team (2022), McDonald's All-American (2020), FIBA Under-17 World Cup MVP (2018)",
Tyler Smith,Career highlights and awards,"NBA Cup champion (2024), NBA G League Next Up Game (2024), All-OTE Second Team (2023)",
Daishen Nix,Career highlights and awards,"NBA G League champion (2022), McDonald's All-American (2020)",
