year,Round,Pick,player,position,nationality,picked by,team,strengths,weaknesses,college,listed height,listed weight,date of birth,place of birth,awards,ls_season,ls_team,ls_conf,ls_class,ls_pos,ls_g,ls_gs,ls_mp,ls_fg,ls_fga,ls_fg%,ls_3p,ls_3pa,ls_3p%,ls_2p,ls_2pa,ls_2p%,ls_efg%,ls_ft,ls_fta,ls_ft%,ls_orb,ls_drb,ls_trb,ls_ast,ls_stl,ls_blk,ls_tov,ls_pf,ls_pts,avg_g,avg_gs,avg_mp,avg_fg,avg_fga,avg_fg%,avg_3p,avg_3pa,avg_3p%,avg_2p,avg_2pa,avg_2p%,avg_efg%,avg_ft,avg_fta,avg_ft%,avg_orb,avg_drb,avg_trb,avg_ast,avg_stl,avg_blk,avg_tov,avg_pf,avg_pts,post draft awards,analysis,nba_per,nba_ts_pct,nba_ws_per_48,nba_bpm,nba_vorp,nba_composite_score
2013,1,19,Sergey Karasev,SG/SF,Russia,Cleveland Cavaliers,Triumph Lyubertsy,Sweet shooting with scoring acumen • High basketball IQ and court vision • Competes defensively with nice size,Underdeveloped for NBA physicality • Lacks great lateral speed • Inconsistent midrange shooting,,6 ft 7 in,208 lb,1993-10-26,"Saint Petersburg , Russia","United League Young Player of the Year ( 2013 ), All-Russian League Second Team (2012)",2012-13,Zenit,,,,11.0,,32.2,5.2,11.7,0.442,2.3,4.6,0.49,2.9,7.1,0.41,,3.5,4.2,0.826,0.5,2.5,3.0,2.4,0.5,0.4,1.4,2.9,16.1,11.0,,32.2,5.2,11.7,0.442,2.3,4.6,0.49,2.9,7.1,0.41,,3.5,4.2,0.826,0.5,2.5,3.0,2.4,0.5,0.4,1.4,2.9,16.1,"VTB United League champion ( 2022 ), 2× VTB United League Supercup winner (2022, 2023), United League All-Star ( 2017, 2023 ), United League three-point contest champion ( 2017 ), All-VTB United League First Team ( 2017 )",The Cavs have coveted Karasev for a while and he fills an immediate need for them at small forward. Karasev is a fantastic shooter with deep range. He's also a great ball handler with a terrific basketball IQ. He's going to be able to step in and help right away. Great pick for the Cavs.,7.1,0.51,0.02,-4.63,-0.17,9.15
2013,1,20,Tony Snell,SF,United States,Chicago Bulls,New Mexico,Picturesque shooting stroke with NBA range • Intriguing size and defensive abilities • Efficient in catch and shoot situations,Lacks consistent aggressive mindset • Needs to improve physical strength • Struggles creating own shot under pressure,New Mexico (2010–2013),6 ft 6 in,213 lb,1991-11-10,"Los Angeles, California , U.S.","Third-team All- MWC (2013), MWC tournament MVP ( 2013 )",2012-13,New Mexico,MWC,JR,G,35.0,35.0,31.2,4.1,9.7,0.422,1.8,4.7,0.39,2.3,5.1,0.452,0.516,2.5,2.9,0.843,0.4,2.2,2.6,2.9,0.8,0.5,2.1,1.3,12.5,34.667,25.333,24.767,2.967,7.067,0.411,1.6,4.167,0.374,1.4,2.9,0.479,0.525,1.567,1.933,0.803,0.4,2.0,2.4,2.033,0.5,0.367,1.5,1.167,9.133,,"The Bulls wanted a shooter, but I wonder about Snell. With other shooters such as Allen Crabbe and Reggie Bullock left on the board, I think there were safer picks than Snell. Snell is intriguing, but he was very inconsistent at New Mexico. He was sort of a workout wonder. Don't love this pick.",8.2,0.51,0.05,-2.67,-0.2,11.13
2013,1,21,Gorgui Dieng,C,Senegal,Minnesota Timberwolves,Louisville,Excellent length and defensive potential • Effective mid-range shooter • Solid rebounder and passer,Limited offensive skills • Struggles with post moves • Questionable upside due to age,Louisville (2010–2013),6 ft 10 in,248 lb,1990-01-18,"Kébémer , Senegal","NCAA champion ( 2013 )*, Big East Defensive Player of the Year (2013), First-team All-Big East (2013)",2012-13,Louisville,Big East,JR,C,33.0,32.0,31.1,3.8,7.1,0.534,0.0,0.0,,3.8,7.1,0.534,0.534,2.2,3.4,0.652,3.4,6.0,9.4,2.0,1.3,2.5,1.8,2.6,9.8,34.0,27.0,26.5,3.233,5.933,0.559,0.0,0.033,0.25,3.233,5.933,0.561,0.56,1.667,2.633,0.622,2.9,4.733,7.633,1.267,0.967,2.533,1.567,2.7,8.2,NBA All-Rookie Second Team ( 2014 ),"The Jazz sent the No. 21 pick to the Wolves to complete the Trey Burke trade. Dieng is an interesting pick. He's old and not very polished -- two major red flags. But he is a good shot blocker and rebounder and a good passer from the high post. Yes, he's a project, but he's still intriguing because he got such a late start in the game.",16.93,0.57,0.12,-0.03,0.97,16.19
2013,1,22,Mason Plumlee,C,United States,Brooklyn Nets,Duke,"Big forward with NBA-level athleticism • Experienced, high-energy player • Strong rebounder and leaper","Limited offensive skills • Predictable, mechanical post game • Lacks defensive prowess and adaptability",Duke (2009–2013),6 ft 10 in,254 lb,1990-03-05,"Fort Wayne, Indiana , U.S.","NCAA champion ( 2010 ), Consensus second-team All-American ( 2013 ), Pete Newell Big Man Award (2013), First-team All-ACC (2013), Third-team All-ACC (2012), McDonald's All-American ( 2009 ), Third-team Parade All-American (2009), North Carolina Mr. Basketball (2009)",2012-13,Duke,ACC,SR,F,36.0,36.0,34.7,6.1,10.3,0.599,0.0,0.0,,6.1,10.3,0.599,0.599,4.8,7.1,0.681,2.7,7.2,9.9,1.9,1.0,1.4,2.9,2.6,17.1,35.25,24.75,25.775,3.675,6.475,0.556,0.025,0.075,0.125,3.675,6.425,0.562,0.558,2.325,4.05,0.548,2.325,5.3,7.675,1.475,0.8,1.4,2.0,2.45,9.775,NBA All-Rookie First Team ( 2014 ),"The Nets are looking for size to back up Brook Lopez. Plumlee is a terrific athlete. He'll get a lot of alley-oops from Deron Williams. He's not a great rebounder or offensive player, but he can be a good backup.",18.07,0.6,0.15,0.87,1.27,18.35
2013,1,23,Solomon Hill,SF,United States,Indiana Pacers,Arizona,Versatile with mismatch tools • Respectable three-point shooter • Skilled passer with court vision,Lacks ideal size and speed • Needs space for shooting • Careless with turnovers,Arizona (2009–2013),6 ft 6 in,226 lb,1991-03-18,"Harvey, Illinois , U.S.","2× First-team All-Pac-12 (2012, 2013)",2012-13,Arizona,Pac-12,SR,F,35.0,35.0,33.0,4.5,9.9,0.458,1.6,4.2,0.39,2.9,5.7,0.508,0.541,2.7,3.5,0.766,1.7,3.6,5.3,2.7,1.1,0.6,2.2,2.2,13.4,34.75,32.25,28.975,3.475,7.25,0.484,0.8,2.2,0.339,2.7,5.075,0.527,0.533,2.45,3.275,0.744,1.775,3.75,5.525,2.175,0.875,0.35,2.1,2.475,10.25,,"For the second straight year, I'm incredulous of whom the Pacers selected in the 20s. Last year it was Miles Plumlee, a huge reach at No. 26. This year they reached even further with Hill at No. 23. Hill was ranked No. 79 on our Big Board. He was a good college player and very experienced. He's a jack-of-all-trades, and I'm sure the Pacers think he can help right now. But they thought the same thing about Plumlee and Orlando Johnson last year, and it didn't work out well.",10.0,0.53,0.09,-1.27,0.27,13.69
2013,1,24,Tim Hardaway Jr.,SG,United States,New York Knicks,Michigan,Proficient three-point shooter • Excellent in transition • Solid decision maker,Lacks great foot speed • Struggles to create own shot • Below average lateral speed,Michigan (2010–2013),6 ft 5 in,205 lb,1992-03-16,"Alameda, California , U.S.","First-team All- Big Ten ( 2013 ), Third-team All-Big Ten ( 2012 ), Big Ten All-Freshman Team ( 2011 )",2012-13,Michigan,Big Ten,JR,G,38.0,38.0,34.8,5.3,12.1,0.437,1.9,5.1,0.374,3.4,7.0,0.483,0.516,2.0,2.9,0.694,0.2,4.4,4.7,2.4,0.7,0.4,1.9,1.9,14.5,35.667,35.667,33.233,4.9,11.567,0.425,1.9,5.5,0.341,3.067,6.067,0.5,0.507,2.6,3.567,0.725,0.6,3.5,4.1,2.067,0.733,0.267,1.7,1.967,14.333,NBA All-Rookie First Team ( 2014 ),"The Knicks added a little name recognition by taking Tim Hardaway Jr. He's a polished scorer who can shoot the basketball and he has size for his position. I don't think he has tremendous upside, but he is ready to play right now. A solid pick for the Knicks.",12.17,0.54,0.07,-1.83,0.0,12.87
2013,1,25,Reggie Bullock,SF,United States,Los Angeles Clippers,North Carolina,Good size and shooting ability • Strong leadership and consistency • Excellent rebounder for size,Lacks toughness and physicality • Poor 1-on-1 and ball handling skills • Needs better defensive focus and intensity,North Carolina (2010–2013),6 ft 6 in,205 lb,1991-03-16,"Baltimore, Maryland , U.S.","Second-team All-ACC (2013), McDonald's All-American ( 2010 ), First-team Parade All-American (2010), North Carolina Mr. Basketball (2010)",2012-13,North Carolina,ACC,Junior,F,35.0,35.0,31.4,1.15,2.7,0.485,0.0,0.2,0.43,1.1,2.5,0.438,0.413,0.55,1.05,0.768,0.95,1.05,6.5,2.9,1.3,0.4,0.85,1.35,13.9,35.0,35.0,31.4,1.15,2.7,0.485,0.0,0.2,0.43,1.1,2.5,0.438,0.413,0.55,1.05,0.768,0.95,1.05,6.5,2.9,1.3,0.4,0.85,1.35,13.9,,"The Clippers were looking for a shooter and in Bullock landed one of the best in the draft. He has unlimited range on his jumper, has good size for his position and is a solid defender. This was a nice pick for a team that's going to try to compete for a championship.",5.2,0.39,-0.01,-4.23,0.0,5.71
2013,1,26,Andre Roberson,SG/SF,United States,Oklahoma City Thunder,Colorado,"Premier rebounder with high energy • Versatile defender, effective in paint • Improved passer, sets strong screens","Limited offensive range and skills • Struggles under pressure, low FT% • Below average size for position",Colorado (2010–2013),6 ft 7 in,210 lb,1991-12-04,"Las Cruces, New Mexico , U.S.","2× First-team All-Pac-12 ( 2012, 2013 ), Pac-12 Defensive Player of the Year ( 2013 )",2012-13,Colorado,Pac-12,JR,F,31.0,30.0,33.4,4.3,8.9,0.48,0.6,1.9,0.328,3.6,7.0,0.521,0.515,1.7,3.2,0.551,3.0,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,35.0,21.667,28.633,3.7,7.2,0.523,0.467,1.4,0.35,3.167,5.8,0.566,0.558,1.867,3.267,0.573,2.967,7.1,10.033,1.167,1.6,1.433,1.8,2.6,9.733,NBA All-Defensive Second Team ( 2017 ),"This pick went from the Wolves to the Warriors to the Thunder. Roberson was a stats-geek star. Our own Kevin Pelton ranked him as the third-best prospect in the draft based on his WARP model. Roberson is a bit of a tweener, but he's one of the best rebounders in the draft. Once again the Thunder try to prove they're smarter than the rest of us.",9.43,0.53,0.09,-0.87,0.47,13.85
2013,1,27,Rudy Gobert,C,France,Utah Jazz,Cholet Basket,Exceptional wingspan and mobility • Reliable hook shot and solid touch • Effective rim protector with good timing,Needs to increase upper body strength • Limited offensive range and fluidity • Lacks competitive fire and game awareness,,7 ft 1 in,258 lb,1992-06-26,"Saint-Quentin , France",,2012-13,Cholet,,,,3.0,,10.3,2.0,2.3,0.857,0.0,0.0,,2.0,2.3,0.857,,1.0,1.7,0.6,0.0,2.0,2.0,0.0,0.7,1.0,0.0,1.7,5.0,12.0,,14.7,2.06,3.08,0.665,0.0,0.02,0.0,2.06,3.06,0.668,,1.14,1.64,0.634,1.34,2.76,4.08,0.14,0.68,1.1,0.8,2.08,5.26,"3× NBA All-Star ( 2020 – 2022 ), All-NBA Second Team ( 2017 ), 3× All-NBA Third Team ( 2019 – 2021 ), 4× NBA Defensive Player of the Year ( 2018, 2019, 2021, 2024 ), 7× NBA All-Defensive First Team ( 2017 – 2022, 2024 ), NBA rebounding leader ( 2022 ), NBA blocks leader ( 2017 ), French player of the year (2019)","The Nuggets traded this pick to the Jazz for the No. 46 pick and cash. Gobert will be the longest player in the NBA, boasting a 7-foot-9 wingspan and a 9-foot-7 standing reach. His calling card is being a huge rim protector. While he isn't a great athlete and he hasn't quite figured things out as a player, as a project he's worth the pick here.",17.33,0.57,0.14,1.23,1.77,17.49
2013,1,28,Livio Jean-Charles,SF,France,San Antonio Spurs,ASVEL Basket,"Excels as high-energy, versatile defender • Strong slasher and mid-range scorer • Agile with excellent open-floor speed",Lacks upper body strength for NBA • Limited potential to add muscle mass • Needs improved shooting range and consistency,,6 ft 9 in,230 lb,1993-11-08,"Cayenne , French Guiana , France","Pro A Rising Star Award ( 2013 ), EuroLeague Next Generation Tournament MVP (2010)",2012-13,ASVEL,LNB Pro A,International,,29.0,,21.2,1.4,3.1,0.449,0.0,0.1,0.0,1.4,3.0,0.467,0.449,0.5,0.9,0.6,1.2,1.6,2.8,0.5,0.4,0.4,0.6,1.9,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,"2× Pro A champion ( 2016, 2019 ), French Cup winner (2019), All-French League First Team (2020), Greek Cup winner (2022), Greek League winner (2022), All-VTB United League Second Team ( 2023 )","Livio Jean-Charles was the breakout star at the Nike Hoop Summit. Jean-Charles exploded with 27 points, 13 rebounds, two steals and two blocks. He clearly was the MVP of the World Team, doing the little things that impress scouts all week. He's long, athletic, has a nose for the ball and can score both inside and on the midrange jumper. The Spurs think he'll spend another year in France before he comes to the NBA. A nice pick here.",,,,,,
2013,1,29,Archie Goodwin,SG,United States,Phoenix Suns,Kentucky,Elite quickness and athleticism • Strong finisher at the rim • Excellent ball handling skills,Inconsistent shooting mechanics • Struggles with team play concepts • Questionable decision making and coachability,Kentucky (2012–2013),6 ft 5 in,210 lb,1994-08-17,"Little Rock, Arkansas , U.S.","SEC All-Freshman team (2013), McDonald's All-American ( 2012 ), First-team Parade All-American (2012), 2× Arkansas Mr. Basketball (2011, 2012)",2012-13,Kentucky,SEC,FR,G,33.0,33.0,31.8,4.8,10.8,0.44,0.5,1.9,0.266,4.2,8.9,0.478,0.464,4.1,6.4,0.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,33.0,33.0,31.8,4.8,10.8,0.44,0.5,1.9,0.266,4.2,8.9,0.478,0.464,4.1,6.4,0.637,1.5,3.2,4.6,2.7,1.1,0.5,3.1,2.9,14.1,BSL All-Star Game MVP ( 2020 ),"The Warriors and Suns swapped picks, and Phoenix got the youngest American player in the draft. John Calipari compared him to a young Russell Westbrook -- he's an elite athlete and a creative finisher. If he could hit a jump shot, he would've gone much higher. If the Suns are patient, this could really pay off.",10.87,0.5,0.01,-3.43,-0.3,9.03
2013,1,30,Nemanja Nedović,SG,Serbia,Golden State Warriors,Lietuvos Rytas,Strong and athletic with good speed • Effective in transition and off the dribble • Can play as shooting guard with ISO ability,Needs to improve point guard skills • Defense needs significant improvement • Inconsistent shooting percentages,,6 ft 4 in,192 lb,1991-06-16,"Nova Varoš , SR Serbia , SFR Yugoslavia",Lithuanian League All-Star ( 2013 ),2012-13,Rytas,,,,10.0,,23.2,3.6,9.8,0.367,1.2,3.5,0.343,2.4,6.3,0.381,,1.4,2.0,0.7,0.7,1.8,2.5,2.1,0.8,0.2,2.5,1.9,9.8,5.667,,10.467,1.6,4.4,0.4,0.567,1.4,0.448,1.033,3.0,0.527,,0.7,1.133,0.567,0.467,0.833,1.3,0.767,0.333,0.067,0.967,1.067,4.467,"EuroCup champion ( 2017 ), ABA League champion ( 2024 ), Greek League champion ( 2021 ), 2× Serbian League champion ( 2023, 2024), Greek Cup winner ( 2021 ), Greek Cup Finals Top Scorer ( 2022 ), 3× Serbian Cup winner ( 2023 –2025), Italian Supercup champion ( 2018 ), Greek Super Cup winner (2021), All-Liga ACB Second Team ( 2017 )","Nedovic is not your typical European guard. Nedovic is a superathletic combo guard with an explosive 41-inch vertical. He's playing major minutes in Lithuania this year for BC Lietuvos rytas and averaged 10 PPG and 2.1 APG in Euroleague play this season. While his game still appears to be trapped between a one and two, there's no question he has the athletic ability and the requisite aggressiveness on offense to play in the NBA. The Warriors plan on bringing him to Summer League and see if he can make the league.",-1.7,0.31,-0.13,-10.0,-0.3,-3.0
2013,2,31,Allen Crabbe,SG,United States,Portland Trail Blazers,California,Lethal spot-up shooter with great range • Excellent on-ball defender with good length • Moves well without the ball,Struggles creating shots off the dribble • Needs to improve ball-handling skills • Lacks intensity and consistent engagement,California (2010–2013),6 ft 5 in,212 lb,1992-04-09,"Los Angeles, California , U.S.","Third-team All-American – NABC, SN ( 2013 ), Pac-12 Player of the Year ( 2013 ), 2× First-team All-Pac-12 ( 2012, 2013 ), Pac-12 Freshman of the Year ( 2011 ), Fourth-team Parade All-American (2010), California Mr. Basketball (2010)",2012-13,California,Pac-12,JR,G,33.0,33.0,36.2,6.5,14.2,0.459,1.9,5.6,0.348,4.6,8.6,0.532,0.528,3.4,4.2,0.813,1.0,5.1,6.1,2.6,1.1,0.7,2.5,2.1,18.4,32.667,32.333,34.7,5.433,12.167,0.445,2.1,5.567,0.382,3.3,6.6,0.495,0.535,2.667,3.267,0.82,0.833,4.867,5.7,2.233,0.833,0.6,1.867,1.667,15.667,,"The Cavs traded this pick to the Trail Blazers. The Blazers wanted a shooter and they got two! McCollum and Crabbe were two of the best shooters in the draft, and Crabbe has great size for his position. The Blazers really are stacking the deck with scorers in the backcourt.",9.53,0.52,0.07,-2.63,0.2,12.15
2013,2,32,Álex Abrines,SG/SF,Spain,Oklahoma City Thunder,FC Barcelona,Ideal wingspan and height for role • Pure shooter with quick release • Effective in catch and shoot situations,Needs to add strength • Poor lateral quickness defensively • Lacks a reliable midrange game,,6 ft 6 in,200 lb,1993-08-01,"Palma , Spain","3× Spanish Cup winner ( 2013, FIBA Europe Under-18 Championship MVP ( 2011 )",2012-13,BarÃ§a,,,,15.0,,11.3,1.7,3.7,0.446,0.7,2.3,0.324,0.9,1.5,0.636,,1.1,1.1,1.0,0.3,0.8,1.1,0.3,0.4,0.1,0.5,1.3,5.1,17.25,,12.575,1.35,3.725,0.362,0.55,2.3,0.259,0.75,1.45,0.522,,0.7,0.925,0.77,0.325,0.9,1.225,0.35,0.4,0.2,0.675,1.45,3.975,"3× Spanish League champion ( 2014, 2021, 2023 ), 2021, 2022 ), EuroLeague Rising Star Award ( 2016 )","Abrines was the best young talent left on the board. He reminds some of a young Rudy Fernandez. Abrines is a good scorer and shooter, and he's already is getting good minutes in the best league in Europe. In a year or two, this could turn out to be a very valuable pick. It's another steal for the Thunder.",,,,,,0.0
2013,2,33,Carrick Felix,SG,United States,Cleveland Cavaliers,Arizona State,"Versatile and athletic wing defender • Improved shooter, solid mechanics • Strong rebounder and hustle player",Limited offensive creation • Struggles in half-court settings • Low free throw percentage,College of Southern Idaho (2009–2010) Arizona State (2010–2013),6 ft 6 in,203 lb,1990-08-17,"Las Vegas, Nevada","Second-team All-Pac-12 (2013), Pac-12 All-Defensive Team (2013)",2012-13,Arizona State,Pac-12,SR,G,35.0,34.0,35.3,5.4,10.8,0.5,1.5,4.0,0.374,3.9,6.8,0.573,0.569,2.3,3.5,0.664,2.1,6.1,8.1,1.6,1.4,1.1,2.0,3.0,14.6,31.333,23.0,27.567,3.533,7.8,0.437,1.033,3.233,0.298,2.5,4.6,0.53,0.498,1.833,2.567,0.718,1.267,3.333,4.567,1.3,1.0,0.767,1.7,2.367,9.9,NBL champion (2018),Felix made his mark as an athletic defender. He really impressed teams in workouts. He's a really nice player in the second round who could end up as a rotation player.,13.3,0.6,0.06,-3.4,0.0,13.04
2013,2,34,Isaiah Canaan,PG,United States,Houston Rockets,Murray State,"Strong, aggressive scoring ability • Excellent shooter, 42% from three • Good at drawing fouls, 82% FT",Struggles with assist-to-turnover ratio • Limited by lack of height • Lacks NBA-level court vision,Murray State (2009–2013),6 ft 0 in,201 lb,1991-05-21,"Biloxi, Mississippi , U.S.","Consensus second-team All-American ( 2012 ), 2× OVC Player of the Year (2012, 2013), 3× First-team All- OVC (2011–2013), OVC Freshman of the Year (2010), No. 3 retired by Murray State Racers",2012-13,Murray State,OVC,SR,G,31.0,30.0,36.5,6.9,16.1,0.431,3.0,8.2,0.37,3.9,7.9,0.494,0.525,4.9,6.0,0.822,0.6,2.9,3.5,4.3,1.5,0.1,3.2,1.9,21.8,33.0,20.75,29.675,4.875,10.85,0.453,2.325,5.575,0.428,2.55,5.25,0.48,0.562,3.65,4.575,0.795,0.55,2.2,2.8,2.975,1.225,0.075,2.4,1.825,15.725,"Greek League champion ( 2023 ), 2× Greek Cup winner ( 2023, 2024 ), Serbian Cup winner (2025), 2× Greek Super Cup winner ( 2022, 2023 ), Greek All-Star Game MVP (2023), Greek All-Star (2023), NBA D-League All-Star (2014)","In Canaan the Rockets get a point guard many teams seriously considered as high as the mid-first round. Canaan is a great athlete, can shoot the basketball and already has an NBA body. He's not a pure point guard, but he can really score.",11.13,0.52,0.04,-2.5,-0.07,11.0
2013,2,35,Glen Rice Jr.,SG,United States,Washington Wizards,Rio Grande Valley Vipers,Dynamic scorer with strong ISO skills • Excellent rebounder and shot blocker • Effective in catch and shoot situations,Struggles with off-hand finishes • Questionable basketball IQ and decision-making • Character and maturity concerns,Georgia Tech (2009–2012),6 ft 6 in,206 lb,1991-01-01,"Miami, Florida , U.S.","NBA D-League champion (2013), NBA D-League All-Rookie Second Team (2013)",2011-12,Georgia Tech,ACC,JR,G,21.0,10.0,29.9,4.9,10.6,0.457,1.4,4.3,0.333,3.4,6.3,0.541,0.525,1.9,3.1,0.606,2.0,4.8,6.7,2.3,1.3,0.9,2.3,2.4,13.0,29.0,14.667,25.6,3.867,8.767,0.438,1.2,3.5,0.367,2.633,5.267,0.486,0.511,1.567,2.533,0.6,1.733,3.433,5.133,2.167,1.3,0.6,1.933,2.267,10.4,"Israeli Cup winner ( 2018 ), Israeli Cup MVP ( 2018 ), Israeli League Top scorer ( 2018 ), Israeli League All-Star ( 2018 ), CIBACOPA champion ( 2017 ), CIBACOPA Finals MVP (2017), CIBACOPA All-Star (2017)","The Sixers are trading this pick to the Wizards. The Wizards already took one small forward in Otto Porter, and now they get a second in Rice. Rice dominated the D-League this year, is an elite athlete and shooter. I think he was underrated because of past problems at Georgia Tech. If he's grown up, he's a steal.",1.5,0.36,-0.08,-9.4,-0.05,0.24
2013,2,36,Ray McCallum,PG,United States,Sacramento Kings,Detroit Mercy,High basketball IQ and good passer • Strong and athletic with a 40 inch vertical • Effective scorer and rebounder for his position,Inconsistent three-point and jump shooter • Lacks elite physical tools and length • Needs to improve free throw shooting,Detroit Mercy (2010–2013),6 ft 3 in,190 lb,1991-06-12,"West Memphis, Arkansas , U.S.",,2012-13,Detroit Mercy,Horizon,Junior,G,33.0,33.0,36.6,6.4,14.2,0.448,1.1,3.5,0.321,5.3,10.7,0.495,0.487,4.8,5.5,0.865,1.2,4.0,5.1,4.5,1.9,0.1,3.4,2.1,18.7,28.75,,36.3,7.325,14.525,0.508,,,,7.325,14.525,,,3.625,4.5,0.804,,,2.125,2.4,1.525,0.125,1.75,1.6,18.3,,"The Kings wanted a point guard, and McCallum is one of the purest point guards in the draft. He's not the sexiest pick, but he's a steady floor leader who is very unselfish. If the Kings clean house, McCallum could end up playing a lot of minutes.",9.97,0.45,0.01,-3.27,-0.13,8.09
2013,2,37,Tony Mitchell,PF,United States,Detroit Pistons,North Texas,Athletic with solid size and wingspan • Versatile defender and proficient rebounder • Effective scorer and spot-up shooter,Unclear position specialization • Prone to turnovers and fouls • Competition level concerns,North Texas (2011–2013),6 ft 7 in,235 lb,1992-04-07,"Milwaukee, Wisconsin , U.S.","First-team All- Sun Belt (2012), Second-team All-Sun Belt (2013), Sun Belt Freshman of the Year (2012)",2012-13,North Texas,Sun Belt,Sophomore,F,30.0,30.0,32.4,4.5,10.3,0.44,0.6,2.2,0.297,3.9,8.1,0.484,0.469,3.4,5.0,0.678,3.5,5.0,8.5,1.0,0.8,2.7,2.3,3.1,13.0,23.333,,11.1,0.9,2.733,0.333,0.333,1.2,0.273,0.6,1.567,0.381,0.391,0.3,0.6,0.414,0.6,1.0,1.5,0.533,0.2,0.067,1.0,0.9,2.467,"P. League+ champion ( 2024 ), Super Basketball League champion (2019)","The Pistons got a huge steal in Mitchell. He's long, athletic and really rebounds. He struggled as a primary offensive option at North Texas, but as a role player -- on a team like the Pistons -- he's a really great fit. He had lottery talent, so he's a great pick here.",18.1,0.54,0.15,0.4,0.0,16.96
2013,2,38,Nate Wolters,PG,United States,Milwaukee Bucks,South Dakota State,Big lead guard with flashy skills • Excellent at pick and roll • Improved shooting in senior year,Below average athleticism • Struggles defensively • Needs more consistent outside jumper,South Dakota State (2009–2013),6 ft 4 in,190 lb,1991-05-15,"St. Cloud, Minnesota , U.S.","Third-team All-American – AP ( 2013 ), Honorable mention All-American – AP ( 2012 ), Summit League Player of the Year (2013), 3× First-team All- Summit League (2011–2013), 2× Summit League tournament MVP ( 2012 , 2013 )",2012-13,South Dakota State,Summit,SR,G,33.0,33.0,38.1,7.3,15.1,0.485,1.9,5.1,0.379,5.4,10.0,0.539,0.549,5.7,7.0,0.813,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3,31.75,27.25,32.825,6.0,13.3,0.44,1.25,3.55,0.346,4.75,9.75,0.476,0.487,5.075,6.325,0.806,0.925,3.75,4.7,5.175,1.475,0.175,2.2,1.8,18.275,"Lithuanian League champion ( 2019 ), 2× ABA League champion ( 2017, 2022 ), Serbian League champion ( 2017 ), 2× Serbian Cup winner ( 2017, 2022 ), Serbian Cup MVP ( 2022 ), Greek League All-Star (2022)","The Wizards have traded this pick to the Bucks. I love Wolters; he was the Jimmer Fredette of college basketball this year, but because he was at South Dakota State, few got to see him play. He's a true point guard who also can really score the basketball. If he can defend anyone, he'll be another second-round steal.",8.1,0.4,-0.03,-4.65,0.0,4.94
2013,2,39,Jeff Withey,C,United States,New Orleans Pelicans,Kansas,Dominant 7-footer with scoring ability • Improved scoring and defensive stats • Solid free throw shooter for a bigman,Questionable upside due to age • Lacks lateral quickness and speed • Offensive effectiveness at NBA level doubted,Kansas (2009–2013),7 ft 0 in,230 lb,1990-03-07,"San Diego, California , U.S.","NABC co-Defensive Player of the Year (2013), Consensus second-team All-American ( 2013 ), 2× Big 12 Defensive Player of the Year (2012, 2013), First-team All-Big 12 (2013)",2012-13,Kansas,Big 12,SR,C,37.0,36.0,30.9,5.0,8.6,0.582,0.0,0.0,1.0,5.0,8.6,0.58,0.583,3.7,5.2,0.714,2.1,6.4,8.5,0.9,0.8,3.9,2.0,2.1,13.7,29.25,19.0,16.225,2.3,4.05,0.576,0.0,0.0,1.0,2.3,4.05,0.575,0.576,1.975,2.775,0.645,1.325,3.175,4.5,0.45,0.425,2.15,1.0,1.525,6.575,,"Withey is one of the best shot blockers in the draft. He doesn't really do much else, but he's a guy who should get 15 minutes a night as a solid backup.",16.83,0.58,0.15,0.23,0.33,17.69
2013,2,40,Grant Jerrett,PF,United States,Oklahoma City Thunder,Arizona,Excellent shooter with high 3-point percentage • Good length and shot-blocking ability • Effective in pick-and-pop situations,Poor rebounder for his height • Limited offensive game beyond shooting • High body fat and low athleticism,Arizona (2012–2013),6 ft 10 in,232 lb,1993-07-08,"Costa Mesa, California , U.S.","McDonald's All-American ( 2012 ), First-team Parade All-American (2012)",2012-13,Arizona,Pac-12,FR,F,34.0,2.0,17.8,1.9,4.5,0.409,0.9,2.3,0.405,0.9,2.2,0.413,0.513,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,34.0,2.0,17.8,1.9,4.5,0.409,0.9,2.3,0.405,0.9,2.2,0.413,0.513,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1.0,0.6,1.3,5.2,"Bosnian Cup winner (2019), NBA D-League All-Rookie Second Team ( 2014 )","Portland traded Jerrett to Oklahoma City. He is a stretch four who was one of the top high school players in the country, but as a freshman at Arizona he often came off the bench. So he has more talent than his stats suggest and gives the Thunder another shooting threat.",13.6,0.48,0.11,-1.6,0.0,13.36
